run_label,asset_id,residual_pred_true_std_ratio,residual_corr
baseline_lengthscale_only,SPY+VEA,0.08981921411804218,0.500070961280502
baseline_lengthscale_only,SPY,0.08922245444569674,0.47749520822559677
baseline_lengthscale_only,VEA,0.09079123081711228,0.5201447947280297
winsor_01,SPY+VEA,0.09781635163534219,0.4200112405163004
winsor_01,SPY,0.08732387549550197,0.34574831679667295
winsor_01,VEA,0.10593397084116107,0.4742331872345814
winsor_025,SPY+VEA,0.11893317954014962,0.414052179182544
winsor_025,SPY,0.09919074074276978,0.3395543635149789
winsor_025,VEA,0.1331499937862145,0.46558583098832906
