EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
0.03132826,0.054974,0.017404195,-0.014173914,0.031718224,0.004816021,0.010633801,0.017775973,0.040759996,0.048279677,0.028995393,0.030175649,0.027897831,0.047955118,0.03257447
0.013409713,-0.015231994,-0.0014404356,-0.004368983,-0.010897782,0.030764736,-0.00037366292,-0.0033256859,0.025796447,-0.028121185,-0.012076514,-0.007749656,0.01377896,-0.023540046,-0.007299702
-0.021717405,0.023192462,-0.0056878487,-0.021599947,-0.051841207,0.044733215,-0.008612363,0.04901745,0.009321881,0.022130467,-0.048531983,0.003930049,0.026303835,-0.031257425,0.005943153
-0.04045277,0.0050187446,-0.035347722,-0.023065258,-0.007007405,-0.08488391,-0.023356263,2.2588298e-05,0.009242933,-0.059780203,-0.05237448,-0.031597607,-0.018178811,-0.043179877,0.0017931964
0.032230556,0.019712945,-0.0035108319,0.009369585,0.0018826257,0.026568215,0.0042656027,-0.0031481981,0.00765761,0.027186941,-0.00086677726,0.008716185,-0.0122770555,0.034456357,0.023922471
0.0317328,0.029619936,-0.005412707,0.023169974,-0.016404726,-0.014553642,-0.0050402544,-0.00871202,0.014848692,-0.020375066,-0.027770277,0.019134298,0.0062749777,0.0068774344,0.020846376
0.022690315,0.029794,0.020449009,0.023226097,0.0065840846,-0.038127318,0.027123682,-0.007906048,0.053253874,-0.02292493,0.023883503,0.024227846,-0.0035624318,0.04073874,0.028157096
0.021453857,-0.00878111,0.016825512,0.007902746,0.026534496,0.004233353,0.0053942455,0.014053176,0.013405673,0.004799426,0.01488986,0.02965845,0.02391849,0.020571725,0.0017901794
0.04549052,0.0023261497,-0.0033043819,0.0047359876,0.041574188,0.0027455986,0.0041063167,0.014152667,0.012291679,-0.012325319,-0.009535134,0.009991501,0.019302953,0.014825327,-0.0033856756
0.011520119,0.024446283,0.018984009,0.0064612757,-0.0029973723,0.018454066,0.001366898,0.02861488,0.039041452,0.021733608,-0.023588158,0.008028471,-0.016027896,-0.0028330833,0.008504028
0.040814728,0.014096434,0.03014916,0.0033955004,-0.00033475645,0.06005586,0.02488973,0.030042991,0.03888724,0.08292456,0.057228092,0.06276913,0.039273236,0.03650278,0.017724209
0.03889008,-0.04800091,0.0013009952,-0.0003256239,0.073463425,0.07645196,-0.009283721,0.05246903,0.056190036,0.033225108,0.03162025,0.043997712,0.058081605,0.022293983,-0.025643518
0.003326958,-0.021081824,-0.024587866,0.009825816,0.0034623174,-0.036435097,-0.0048732376,-0.0565196,0.007304619,-0.024017278,-0.0050189234,-0.004490016,-0.035790212,0.01413299,-0.019223588
-0.03008362,0.040599402,0.010746492,0.020914463,0.0454566,0.024702169,0.0099280495,0.038836583,0.028931022,0.06297372,0.0042111147,0.026323,0.022477284,0.003291999,0.03178778
0.00015291944,-0.004213487,0.002959648,-0.011144866,0.028632574,0.006197014,0.0003491626,0.026645986,0.002833942,0.01340394,-0.0017824247,-0.02108012,0.023768486,-0.008122725,0.0018724669
0.02373621,-0.0025728103,0.0024355422,0.018651675,0.012119312,0.0691163,0.004222827,0.013714276,0.039861403,0.033808805,0.04632021,0.03956805,0.035734072,0.059421822,0.013292056
