BND_pred,BND_lower_95,BND_upper_95,BNDX_pred,BNDX_lower_95,BNDX_upper_95,EWX_pred,EWX_lower_95,EWX_upper_95,HYEM_pred,HYEM_lower_95,HYEM_upper_95,HYG_pred,HYG_lower_95,HYG_upper_95,IEF_pred,IEF_lower_95,IEF_upper_95,IJR_pred,IJR_lower_95,IJR_upper_95,IWM_pred,IWM_lower_95,IWM_upper_95,LQD_pred,LQD_lower_95,LQD_upper_95,MGK_pred,MGK_lower_95,MGK_upper_95,SPY_pred,SPY_lower_95,SPY_upper_95,VEA_pred,VEA_lower_95,VEA_upper_95,VNQ_pred,VNQ_lower_95,VNQ_upper_95,VNQI_pred,VNQI_lower_95,VNQI_upper_95,VSS_pred,VSS_lower_95,VSS_upper_95,VTV_pred,VTV_lower_95,VTV_upper_95,VWO_pred,VWO_lower_95,VWO_upper_95,VWOB_pred,VWOB_lower_95,VWOB_upper_95
0.00221819,-0.02485035,0.029286731,0.0016226387,-0.021156806,0.024402082,-0.0006058512,-0.06597775,0.06476605,0.000971704,-0.04040207,0.04234548,0.0025423805,-0.027326217,0.03241098,0.002310264,-0.031937867,0.036558397,-0.0060285544,-0.09305614,0.08099903,-0.006011068,-0.091172636,0.0791505,0.0023502596,-0.029690098,0.034390617,-0.0007821906,-0.08053794,0.078973554,-0.00031717285,-0.055373628,0.054739285,0.0011553378,-0.053208098,0.055518776,-0.0007679139,-0.0764167,0.07488087,0.001415963,-0.06414841,0.06698033,-0.0008327274,-0.054548666,0.052883208,0.00049032643,-0.05418642,0.05516707,0.0010291408,-0.06370548,0.065763764,0.0021395497,-0.034776323,0.039055422
0.003349502,-0.02176594,0.028464943,0.0037437412,-0.017862286,0.02534977,0.006483894,-0.057406407,0.07037419,0.0035102693,-0.036382895,0.043403435,0.0044904416,-0.023520648,0.032501534,0.0032978826,-0.030082123,0.03667789,0.0043817707,-0.08250191,0.09126545,0.0065078046,-0.07269315,0.08570876,0.0042160233,-0.027995717,0.036427762,0.009445766,-0.06785213,0.08674366,0.0063388227,-0.046953414,0.05963106,0.0062290467,-0.04741087,0.059868965,0.0044915997,-0.067040324,0.07602352,0.004566879,-0.05958066,0.06871442,0.005987816,-0.049248576,0.061224207,0.003630533,-0.04920173,0.0564628,0.004860725,-0.05796006,0.06768151,0.004346908,-0.028843623,0.037537437
0.0029817377,-0.020037578,0.026001053,0.0032844588,-0.016558833,0.02312775,0.011007197,-0.047237452,0.06925185,0.008154003,-0.02846806,0.044776067,0.005855359,-0.02003508,0.0317458,0.0023621437,-0.02778186,0.03250615,0.007426722,-0.07229893,0.08715238,0.010584999,-0.061908204,0.083078206,0.004649518,-0.024527723,0.03382676,0.025589732,-0.04463023,0.0958097,0.015614671,-0.033366308,0.06459565,0.009316657,-0.039354574,0.057987887,0.008253502,-0.0570336,0.0735406,0.002185463,-0.05741381,0.061784737,0.0086751245,-0.04078212,0.05813237,0.007193339,-0.04132353,0.055710208,0.0062790588,-0.055586252,0.068144366,0.005483126,-0.027356448,0.0383227
-0.0016007372,-0.023628527,0.020427054,0.00046888716,-0.018498674,0.019436449,0.002721516,-0.052409425,0.057852454,0.0022027367,-0.03203692,0.036442395,0.0006136247,-0.023820508,0.025047757,-0.0026941895,-0.031842485,0.026454106,-0.01891177,-0.09377678,0.055953234,-0.01710188,-0.085263774,0.05106001,-0.003337272,-0.031553023,0.02487848,0.0072571803,-0.060855635,0.07536999,-0.0021794671,-0.049151592,0.04479266,-0.002948796,-0.05058343,0.04468584,-0.015195932,-0.07736561,0.046973746,0.002411961,-0.05424158,0.059065502,0.00074447924,-0.048959304,0.050448265,-0.011217734,-0.056172423,0.03373696,-0.0011322722,-0.06033125,0.058066707,-0.00075244345,-0.03048518,0.028980292
0.0092183985,-0.0119263325,0.03036313,0.0050947396,-0.013081546,0.023271024,0.0035808422,-0.047414757,0.05457644,0.013258886,-0.019030605,0.045548376,0.011049544,-0.011991527,0.034090616,0.01012302,-0.017102184,0.037348226,0.016565964,-0.049903147,0.083035074,0.017596666,-0.046635624,0.08182895,0.01328717,-0.012138493,0.038712833,0.018381609,-0.04393872,0.08070194,0.021552132,-0.021320881,0.06442515,0.028857697,-0.013911169,0.07162656,0.022173543,-0.035587013,0.0799341,0.017500935,-0.03425636,0.06925823,0.017513316,-0.024951272,0.059977904,0.025696639,-0.016725063,0.06811834,0.015957251,-0.041464034,0.07337853,0.012580957,-0.01740705,0.042568967
0.009212113,-0.012682409,0.031106636,0.0040780865,-0.014564764,0.022720937,0.01478627,-0.039681967,0.06925451,0.013709737,-0.019992715,0.047412187,0.010022057,-0.013986556,0.03403067,0.0110189095,-0.017146228,0.03918405,0.022708263,-0.048989896,0.094406426,0.023610208,-0.04437604,0.091596454,0.012012528,-0.015149768,0.039174825,0.012520318,-0.05355188,0.07859252,0.01710326,-0.029185819,0.06339234,0.029975787,-0.015335407,0.075286984,0.021562058,-0.0388652,0.08198932,0.021944534,-0.03263897,0.07652804,0.022366777,-0.023009073,0.06774263,0.023121405,-0.021504164,0.067746975,0.018764503,-0.04164524,0.07917425,0.014184785,-0.01585744,0.044227008
0.0009956476,-0.02101666,0.023007954,0.001232645,-0.017866,0.02033129,-0.0018172786,-0.0564017,0.052767143,0.0013614232,-0.03340415,0.036126994,0.00085984217,-0.02362271,0.025342394,0.00085462444,-0.028076338,0.029785587,-0.012289977,-0.083042465,0.058462508,-0.0090491865,-0.07674068,0.058642313,0.00041458104,-0.02602059,0.026849754,0.009631475,-0.05598031,0.075243264,0.0017341129,-0.044972684,0.048440907,-0.0025977162,-0.048413713,0.04321828,-0.0051244237,-0.066387065,0.056138217,-0.0007154704,-0.056409623,0.05497868,-0.0016734954,-0.047418073,0.04407108,-0.0061944947,-0.05198583,0.03959684,0.0002232613,-0.061403926,0.061850447,0.002030288,-0.030637255,0.03469783
0.0030305807,-0.017046154,0.023107316,0.0046074437,-0.012860571,0.02207546,-0.0022792513,-0.053062525,0.04850402,0.000112343114,-0.031455453,0.03168014,-0.00018801121,-0.022592317,0.022216294,0.0038643777,-0.022230897,0.029959653,-0.010693887,-0.07836491,0.056977138,0.002980581,-0.06053642,0.06649759,0.0011608962,-0.024178911,0.026500702,0.021400288,-0.03995396,0.08275454,0.00868541,-0.03377906,0.05114988,0.007239546,-0.034300704,0.048779797,-0.014168828,-0.07086876,0.042531103,-0.0045853388,-0.055073775,0.045903094,-0.00027539767,-0.04295209,0.0424013,-0.005797865,-0.04744912,0.035853386,0.0019161729,-0.05665202,0.06048437,0.0027613612,-0.025828362,0.031351082
0.004307201,-0.017508773,0.026123175,0.0013269249,-0.017726723,0.020380571,-0.005586265,-0.06107111,0.049898576,-0.0013606115,-0.035592813,0.032871593,0.002989129,-0.021369616,0.027347872,0.006319157,-0.02226368,0.034901995,0.0037778332,-0.06997771,0.07753337,-0.00034963246,-0.06987154,0.06917227,0.005245477,-0.022039622,0.032530576,-0.0052114497,-0.07300735,0.06258445,-0.0008700737,-0.047446158,0.045706008,0.002765858,-0.0440613,0.049593013,0.007753481,-0.054088935,0.069595896,0.0062932516,-0.0496692,0.062255703,0.0023303383,-0.04583242,0.050493095,0.0049202517,-0.04044876,0.050289262,0.0036143563,-0.055487577,0.06271629,0.0039528864,-0.026706636,0.03461241
0.002081726,-0.023236575,0.027400026,0.0015647837,-0.020411005,0.023540573,0.010852656,-0.05235795,0.074063264,0.005200925,-0.03466602,0.045067873,0.0047727334,-0.023140008,0.032685474,0.0010096619,-0.03223145,0.034250773,0.008823484,-0.07385413,0.0915011,0.0130510675,-0.066509716,0.09261186,0.0025480955,-0.027840234,0.032936424,0.017824559,-0.060022086,0.09567121,0.013480468,-0.041491285,0.06845222,0.008898622,-0.0439024,0.061699647,0.0008908091,-0.0707336,0.07251521,0.0045783916,-0.059813064,0.068969846,0.010538183,-0.04184047,0.06291684,0.009442398,-0.043419324,0.062304124,0.009201823,-0.05373603,0.07213968,0.00472986,-0.029067982,0.0385277
0.0010817628,-0.026192386,0.028355911,0.0017406405,-0.020524502,0.024005782,0.008189481,-0.055348646,0.0717276,0.0050699874,-0.034778647,0.04491862,0.0029555694,-0.025227271,0.031138409,0.000104816165,-0.033719055,0.033928685,0.0069886576,-0.07740848,0.0913858,0.00864242,-0.07234385,0.08962869,0.0007081849,-0.030921184,0.032337554,0.0059698485,-0.07264629,0.084585994,0.006313391,-0.047980763,0.060607545,0.008847905,-0.044323526,0.06201934,0.0012923013,-0.07170883,0.074293435,0.005549628,-0.059011642,0.070110895,0.010013439,-0.04308887,0.063115746,0.006434276,-0.04691591,0.059784465,0.006624205,-0.055548765,0.06879718,0.0043017794,-0.029517908,0.038121466
