variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.03443845630952959,0.02998442191283511,-2.061860394508235,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.010772659514294448,0.008194642718436571,-2.3877943042893777,1.0,1.0
positive_beta_prior,2025-07-31,0.03462797544526922,0.027489372565281438,-2.1629535897959533,0.6666666666666666,1.0
positive_beta_prior,2025-08-29,0.019189853486301034,0.014571616862553474,-2.4531002561737694,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.014550609773157721,0.011718794867664924,-2.5578339507240946,1.0,1.0
positive_beta_prior,2025-10-31,0.013043963504895064,0.009966367035005037,-2.417311991468366,1.0,1.0
positive_beta_prior,2025-11-28,0.013289283296001198,0.010679180042726201,-2.5277747922590947,1.0,1.0
positive_beta_prior,2025-12-31,0.031190289539387087,0.023583121995541186,-2.3049699373467702,0.7222222222222222,1.0
positive_beta_prior,2026-01-30,0.030555924835598356,0.02483545234152605,-2.2181083247587257,0.5555555555555556,1.0
positive_beta_prior,2026-02-27,0.06285600838760966,0.05472431271788009,-1.0479824082198805,0.2222222222222222,0.7222222222222222
positive_beta_prior,2026-03-31,0.0702923301029326,0.055639511716662086,-0.9435012927745338,0.3333333333333333,0.6111111111111112
positive_beta_prior,2026-04-30,0.026096209431498797,0.017879909789617066,-2.3625441353294376,0.8888888888888888,1.0
