date,equal_weight_return,gp_scenarios_riskfolio_return,historical_y_ewma2_riskfolio_return,equal_weight_value,gp_scenarios_riskfolio_value,historical_y_ewma2_riskfolio_value,equal_weight_cagr_to_date,gp_scenarios_riskfolio_cagr_to_date,historical_y_ewma2_riskfolio_cagr_to_date,gp_ic,gp_minus_historical_return,gp_minus_equal_return
2025-05-30,0.0300939194159561,0.0345869822454853,0.0343583862807775,10300.939194159562,10345.869822454853,10343.583862807774,0.427321746720847,0.5038485965263222,0.4998660651650795,0.3852941176470588,0.00022859596470779786,0.004493062829529201
2025-06-30,-0.0015899876147727,0.0025316370667819,-0.0003849409662539,10284.56082842032,10372.06180998548,10339.602193641098,0.18335352018141138,0.24506084954704987,0.22186431166335097,0.5235294117647059,0.0029165780330358,0.0041216246815546
2025-07-31,0.030267841126559,0.0319395971644139,0.0279991284620376,10595.85228163138,10703.341285960816,10629.102043707218,0.26050211991699146,0.3124340646635835,0.2763985610137021,0.5,0.0039404687023762985,0.0016717560378548997
2025-08-29,0.0144158896535747,0.0156737754368552,0.0185456188364164,10748.600918908955,10871.103053700988,10826.225318783187,0.24181189419855942,0.28475654289635166,0.26891106524751773,0.3911764705882353,-0.0028718433995612025,0.001257885783280498
2025-09-30,0.0006302792699358,0.0027003043460424,0.0049661784044365,10755.375539248955,10900.45834052317,10879.990285162892,0.19097155669684907,0.22989326337013183,0.2243579856456439,-0.0264705882352941,-0.0022658740583940996,0.0020700250761066003
2025-10-31,0.0048460347528029,0.0059303625266683,-0.0003013962434349,10807.496462891602,10965.102010189315,10876.711096962335,0.16801979795414468,0.20233462093857768,0.18302844286783593,0.3970588235294118,0.0062317587701031995,0.0010843277738654
2025-11-28,-0.0001613532304344,-0.0009721246791058,0.0056488156753338,10805.752638424407,10954.442563916298,10938.151633102932,0.14207420529080705,0.1691468285450548,0.1661677831608943,0.0823529411764706,-0.0066209403544396,-0.0008107714486714
2025-12-31,0.0267859415444783,0.0333427751738547,0.029273255343401,11095.194896941333,11319.694079479863,11258.346938843593,0.16869827522320446,0.2043481087331933,0.1945709293855542,0.6588235294117648,0.0040695198304536995,0.0065568336293764
2026-01-30,0.0234267592307007,0.0226814654933005,0.0252494291263543,11355.119356409677,11576.441330138303,11542.613771955832,0.18464694301959517,0.21553303629314846,0.21079946001336514,0.2823529411764706,-0.0025679636330538,-0.000745293737400201
2026-02-27,-0.0533185962343967,-0.0556479881950504,-0.0611119565138556,10749.680332251888,10932.235659658072,10837.222061067838,0.0906230184612471,0.11288626361478338,0.10128967327577465,-0.0911764705882352,0.005463968318805197,-0.0023293919606537025
2026-03-31,0.0564954587171623,0.0668897019252752,0.0655790198419415,11356.988453685315,11663.489644309464,11547.916461642131,0.14891291154624042,0.18277960435190121,0.16999978518042758,0.8147058823529412,0.0013106820833336946,0.0103942432081129
2026-04-30,0.0119861901450539,0.0200951526576619,0.0226391800268912,11493.115476766368,11897.86924923292,11809.35182135275,0.1493115476766369,0.18978692492329197,0.18093518213527493,0.5323529411764706,-0.0025440273692293007,0.008108962512607999
