date,asset_id,weight
2025-05-30,SPY,0.1875582328428661
2025-05-30,VTV,0.1448893498880077
2025-05-30,VEA,0.0938214045868495
2025-05-30,EWX,0.0934142749854617
2025-05-30,IJR,0.0783813412125435
2025-06-30,SPY,0.1892186192590323
2025-06-30,VTV,0.1566839522148971
2025-06-30,VEA,0.081792731230397
2025-06-30,EWX,0.0783358674245154
2025-06-30,HYG,0.0764549961995403
2025-07-31,SPY,0.1776865995338843
2025-07-31,VTV,0.1621307711313199
2025-07-31,EWX,0.0854908110243314
2025-07-31,IJR,0.0830623915750238
2025-07-31,VEA,0.0796987920109467
2025-08-29,VTV,0.1838117547795304
2025-08-29,SPY,0.1507451523324349
2025-08-29,VNQ,0.1009432883216263
2025-08-29,VEA,0.0968920058010616
2025-08-29,EWX,0.0817295814220356
2025-09-30,SPY,0.1497707739211287
2025-09-30,IJR,0.1457253128588104
2025-09-30,VTV,0.140995473531305
2025-09-30,IWM,0.1310772331632665
2025-09-30,EWX,0.0674625006855896
2025-10-31,IJR,0.1594147134599945
2025-10-31,IWM,0.1536640601429205
2025-10-31,VTV,0.1210279077538669
2025-10-31,EWX,0.1103610735542543
2025-10-31,SPY,0.0888399370271007
2025-11-28,VTV,0.1612066046772383
2025-11-28,SPY,0.1562884083501274
2025-11-28,IJR,0.1229300474893906
2025-11-28,IWM,0.1052540695072047
2025-11-28,HYG,0.073347244747053
2025-12-31,VTV,0.1556211124976999
2025-12-31,SPY,0.1375943838206786
2025-12-31,VEA,0.1245994381842689
2025-12-31,IJR,0.1148940854759204
2025-12-31,IWM,0.0842896781742986
2026-01-30,SPY,0.1620523706440193
2026-01-30,VTV,0.1457005293559886
2026-01-30,VEA,0.1269629921132084
2026-01-30,VWO,0.113755221593134
2026-01-30,EWX,0.0774543577983845
2026-02-27,SPY,0.1366180431555547
2026-02-27,VEA,0.1240832961022914
2026-02-27,EWX,0.1226164696831077
2026-02-27,VTV,0.1197530024890457
2026-02-27,VWO,0.1151061717751185
2026-03-31,SPY,0.1876711816419608
2026-03-31,VEA,0.1262431451277317
2026-03-31,VTV,0.1166648441607538
2026-03-31,EWX,0.0898501636099192
2026-03-31,HYG,0.0821865975758137
2026-04-30,SPY,0.1749114998589484
2026-04-30,EWX,0.1341792263430633
2026-04-30,VTV,0.1080658175020879
2026-04-30,VEA,0.1055169787447437
2026-04-30,VWO,0.086916006356152
