strategy,n_rebalances,cumulative_return,cagr,annualized_vol,sharpe,max_drawdown,terminal_value,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic
gp_scenarios_riskfolio,12.0,0.18918013068081851,0.18918013068081851,0.09544834237676435,1.982015883880577,-0.05445078073773513,11891.801306808185,0.014923113958345495,0.8333333333333334,0.15357015512671304,0.1883884260509492,0.3708333333333333,0.3941176470588236
historical_y_ewma2_riskfolio,12.0,0.1809351821352747,0.1809351821352747,0.09964392285288322,1.8158175326197459,-0.0611119565138557,11809.351821352748,0.014371726522837129,0.75,0.13513414284015593,0.17190154100934202,,
equal_weight,12.0,0.14931154767663735,0.14931154767663735,0.08817899533597233,1.6932779411666328,-0.05331859623439672,11493.115476766374,0.011989864731385018,0.75,0.08333333333333333,0.0625,,
