SPY,MGK,VTV,IWM
-0.006993219849727946,-0.013214841711932858,0.019602324695197397,-0.013690915832876994
0.0970725926515977,0.12254270594125732,0.05167335094888123,0.08569546206375614
0.018143941809589434,0.0576765714763216,-0.014566308063408025,0.00866973573294275
0.12242281255044132,0.1521380060163867,0.08055708760668198,0.08894122535989335
0.0504124380241047,0.05407565733751755,0.03723158745857687,0.006780858248164117
0.03810211394739697,-0.005117609848204023,0.07395701786241578,0.1449846919382376
0.03639126704749712,0.09054504404874975,-0.012031094824277729,0.027174640276875883
0.026395794347206104,-0.012605582132330415,0.0669944280160833,0.03970107873596127
-0.02682961381680643,-0.013180935719698597,-0.06937536624131191,-0.05559671898194305
-0.01061630042144246,0.01911167755936663,-0.03739701516475155,-0.080515299627889
0.0031064418983006888,-0.014627039924873048,0.001360941106853357,-0.0281666130179683
-0.09541672167673808,-0.12535173171170697,-0.1207045121182045,-0.10975330013856974
-0.053057023132166106,-0.07267260810956358,-0.038635328227421606,-0.0018583450643606426
0.06230237645476507,0.0318604617588008,0.06280178297445949,0.13234346050522527
0.10344648514247762,0.08275273256444027,0.060683781000557754,0.1436435794814667
0.0027789296422080084,-0.025827961752475162,0.04581371249319209,0.06420831549075309
0.043932767999413015,0.037577322446489335,0.05645061792246138,0.022884077479450655
0.07215574817932864,0.05403604891065551,0.09952458093658853,0.1010167097681392
0.11015324984249432,0.18774211183861342,0.09832974372813179,0.03579191669918473
0.06442057375235369,0.042317626399628,0.015449354686481136,0.06555254767016337
0.054924810371753556,0.07949968590643942,-0.014605115824001615,0.0635183030974047
0.05984892868051104,0.06034972477358618,0.02839405190892332,0.016129375922000557
0.005972893297362556,0.004003350444487932,-0.028721384638402726,-0.035292314469624615
0.034270129495772496,-0.0037908055360349815,0.043790460745821796,0.058647126086148145
-0.007263017391020341,-0.01119906432195622,-0.08501697866880419,-0.04335471836060373
-0.0185857328625914,-0.07019220013651087,0.014122879615152434,-0.0007048813097424514
0.04989069605612584,0.07262623047571862,0.038735512136914535,0.07123946254271041
-0.045428409883985735,0.02282481731260328,-0.02927610142085216,-0.09398667351264461
0.011445838144025043,-0.02317374091671845,0.0423433325848656,0.06692950629542468
-0.03139370592631557,-0.012276558969917063,-0.022043014629969587,-0.07173168426075069
-0.012820499601801892,-0.02771016156693954,0.009026541531816758,-0.009272383302112098
0.012341994111097378,0.010427088744077367,0.004968240636392479,0.0908560209862185
0.11339044685715163,0.1286294955543425,0.0894322889747154,0.07964809978285797
0.022255447340694498,0.004298598350955737,0.03802967084473869,-0.0076075711987205474
0.04877335771026019,0.11259268855971324,0.06760561476507894,0.05657636465045586
0.08734272617963423,0.0999673592372162,0.04902426175606096,0.019952872690695022
-0.013964852713653095,-0.03540229042799089,0.02720343625966668,0.04048553947064109
0.06990865847825373,0.10729117229369844,0.0731824231870653,0.08682312458198119
-0.05740511852420638,-0.07401863315928103,0.03654441596963251,-0.011812170626307069
0.00039951685154264796,0.05188206509838861,-0.03715102237130488,-0.11588262515721653
-0.019808712712254928,-0.005893594389507623,-0.03784037677593549,-0.047258142794163786
0.01267163032841468,0.027189898326953274,0.030350865638538845,0.00433617559485564
0.024460777482302423,0.048933770629724524,-0.03926073068287293,-0.04043161026715565
0.06825783935953869,0.0796024013910019,-0.014109945859572516,0.01750931790672454
