strategy,n_rebalances,cumulative_return,cagr,annualized_vol,sharpe,max_drawdown,terminal_value,mean_period_return,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic
gp_scenarios_riskfolio,3.0,0.05340569243229676,0.23135320052094732,0.08889122681024975,2.6026550518287004,-0.0027465833889396274,10534.056924322967,0.01781390625146105,0.01781390625146105,0.6666666666666666,0.472923684838274,0.35000000030990847,0.3333333333333333,0.7999999999999999
historical_y_ewma2_gerber1_riskfolio,3.0,0.04181347233538957,0.17803956603121307,0.0957886928465688,1.8586699613532782,-0.010596010960895352,10418.134723353896,0.014120513351120969,0.014120513351120969,0.3333333333333333,0.35093466831242126,0.3499999999644974,,
equal_weight,3.0,0.04992220401438163,0.2151460557220215,0.0795820079920275,2.70345095770359,-0.0020543780452677574,10499.222040143817,0.016628223174418495,0.016628223174418495,0.6666666666666666,0.3333333333333333,0.25,,
schwab_moderate_aggressive_static,3.0,0.042645373905571216,0.1818067947928701,0.07609194355456532,2.389304127348212,-0.0025504224420737076,10426.453739055713,0.014253200060071518,0.014253200060071518,0.3333333333333333,0.3333333333333333,0.45,,
