horizon,n_rows,n_features,p05_normalized_distance,p25_normalized_distance,median_normalized_distance,p75_normalized_distance,p95_normalized_distance
BME,320,44,0.8653643082736485,1.1286041639110747,1.3365863537154357,1.582179931169799,1.9903702331316115
3W-FRI,465,44,0.8485506366801919,1.1091144703446905,1.3151497494522761,1.565615591024547,2.0634290960460886
