horizon,feature_a,feature_b,corr,abs_corr
3W-FRI,mom12m,mom12m_skip1m,0.9602635801968693,0.9602635801968693
3W-FRI,vol_1m,baspread,0.9476025984725553,0.9476025984725553
3W-FRI,vol_1m,downside_vol_1m,0.9241065562653754,0.9241065562653754
3W-FRI,term_spread,tbill3m,-0.9043445846144395,0.9043445846144395
3W-FRI,downside_vol_1m,baspread,0.8994895998130993,0.8994895998130993
3W-FRI,vix_slope,vix_ts_z_12p,0.8889086052872444,0.8889086052872444
3W-FRI,vol_1w,vol_1m,0.8873658379355077,0.8873658379355077
3W-FRI,vol_1w,downside_vol_1m,0.8710771163048543,0.8710771163048543
3W-FRI,vol_3m,max_dd_3m,-0.8699754504359094,0.8699754504359094
3W-FRI,vol_1w,baspread,0.8505354392671349,0.8505354392671349
3W-FRI,erp,tbill3m,-0.83789294643221,0.83789294643221
3W-FRI,mom12m_skip1m,chmom,0.8307134026723053,0.8307134026723053
3W-FRI,mom12m,chmom,0.8169532761844842,0.8169532761844842
3W-FRI,vol_1m,vol_3m,0.8167345340666797,0.8167345340666797
3W-FRI,ma_signal,ma_regime,0.8005412738707646,0.8005412738707646
3W-FRI,short_reversal_1m,lag2_y_excess_lead,-0.7976406480425797,0.7976406480425797
3W-FRI,vix,vix_slope,-0.7788043729644429,0.7788043729644429
3W-FRI,vol_3m,baspread,0.774321301435762,0.774321301435762
3W-FRI,max_dd_3m,max_dd_6m,0.7714019824205152,0.7714019824205152
3W-FRI,vol_z,turnover,0.7577610840852502,0.7577610840852502
3W-FRI,vol_3m,max_dd_6m,-0.7400615596819565,0.7400615596819565
3W-FRI,mom6m,mom12m,0.7213373127031837,0.7213373127031837
3W-FRI,erp,term_spread,0.7209053817826997,0.7209053817826997
3W-FRI,vol_3m,downside_vol_1m,0.7002697919918189,0.7002697919918189
3W-FRI,vol_1m,max_dd_3m,-0.6932297796495727,0.6932297796495727
3W-FRI,short_reversal_1m,trend_slope,-0.6872737435702913,0.6872737435702913
3W-FRI,vol_1w,vol_3m,0.6858691777997993,0.6858691777997993
3W-FRI,spy_flow_z_12p,lag2_y_excess_lead,0.6839829698815247,0.6839829698815247
3W-FRI,vol_of_vol,ret_kurt,0.6695665110197102,0.6695665110197102
3W-FRI,mom6m,max_dd_3m,0.660411496497782,0.660411496497782
3W-FRI,vix,vix_ts_z_12p,-0.6593296534372328,0.6593296534372328
3W-FRI,ill_log,dolvol_log,-0.6581375220405088,0.6581375220405088
3W-FRI,mom12m_skip1m,max_dd_6m,0.6547818212741512,0.6547818212741512
3W-FRI,max_dd_3m,baspread,-0.6502946316789683,0.6502946316789683
3W-FRI,ma_signal,downside_vol_1m,-0.6448025583438797,0.6448025583438797
3W-FRI,hy_spread,cpi_chg_12p,-0.6406253679840378,0.6406253679840378
3W-FRI,mom6m,mom12m_skip1m,0.637163217079198,0.637163217079198
3W-FRI,vol_3m,vol_of_vol,0.6346809931832299,0.6346809931832299
3W-FRI,mom12m,max_dd_6m,0.6290728468126886,0.6290728468126886
3W-FRI,trend_slope,lag2_y_excess_lead,0.6230791117444651,0.6230791117444651
3W-FRI,vol_1w,max_dd_3m,-0.6061300074788023,0.6061300074788023
3W-FRI,vol_1m,vol_of_vol,0.6029596839525639,0.6029596839525639
3W-FRI,downside_vol_1m,max_dd_3m,-0.6021143935430034,0.6021143935430034
3W-FRI,cpi_chg_1p,tbill3m,-0.6009186197024177,0.6009186197024177
3W-FRI,vix_ts_z_12p,spy_flow_z_12p,0.596061570788057,0.596061570788057
3W-FRI,vol_1m,max_dd_6m,-0.5919228676514511,0.5919228676514511
3W-FRI,cpi_chg_1p,term_spread,0.5899672821797393,0.5899672821797393
3W-FRI,short_reversal_1m,spy_flow_z_12p,-0.579978102408244,0.579978102408244
3W-FRI,vix,hy_spread_z_12p,0.5780056570911221,0.5780056570911221
3W-FRI,short_reversal_1m,vix,0.5772079573291452,0.5772079573291452
3W-FRI,spy_ret,erp,0.5711947067713239,0.5711947067713239
3W-FRI,mom6m,ma_signal,0.5640900279435324,0.5640900279435324
3W-FRI,mom12m_skip1m,max_dd_3m,0.5631396866563196,0.5631396866563196
3W-FRI,ma_regime,downside_vol_1m,-0.5569878738512852,0.5569878738512852
3W-FRI,short_reversal_1m,vix_slope,-0.5539977364477996,0.5539977364477996
3W-FRI,mom12m,max_dd_3m,0.548478832331741,0.548478832331741
3W-FRI,cpi_chg_12p,tbill3m,-0.5448397338040135,0.5448397338040135
3W-FRI,vol_of_vol,baspread,0.5420516679620953,0.5420516679620953
3W-FRI,ma_signal,baspread,-0.5411117499866722,0.5411117499866722
3W-FRI,short_reversal_1m,vix_ts_z_12p,-0.5350995190903712,0.5350995190903712
3W-FRI,max_dd_6m,baspread,-0.529686086776501,0.529686086776501
3W-FRI,vol_ratio_1m_3m,downside_vol_1m,0.5292195312431945,0.5292195312431945
3W-FRI,trend_slope,spy_flow_z_12p,0.5287389304230339,0.5287389304230339
3W-FRI,vol_1w,max_dd_6m,-0.5235249063822421,0.5235249063822421
3W-FRI,ma_signal,vol_1w,-0.519043347273071,0.519043347273071
3W-FRI,vol_of_vol,max_dd_3m,-0.518214937688138,0.518214937688138
3W-FRI,vix_ts_z_12p,lag2_y_excess_lead,0.5166611187411533,0.5166611187411533
3W-FRI,vix_slope,lag2_y_excess_lead,0.5128437262212252,0.5128437262212252
3W-FRI,vix,spy_ret,-0.5126388834020678,0.5126388834020678
3W-FRI,hy_spread_chg_1p,lag2_y_excess_lead,-0.5122444865920028,0.5122444865920028
3W-FRI,mom6m,vix,-0.5077974906387618,0.5077974906387618
3W-FRI,vol_of_vol,downside_vol_1m,0.5025349373562157,0.5025349373562157
3W-FRI,chmom,max_dd_6m,0.5009712520467065,0.5009712520467065
3W-FRI,hy_spread_chg_1p,hy_spread_z_12p,0.49726065764055555,0.49726065764055555
3W-FRI,ill_log,sd_turn,0.4963355658082473,0.4963355658082473
3W-FRI,vix_slope,spy_flow_z_12p,0.4947425779004333,0.4947425779004333
3W-FRI,short_reversal_1m,ma_signal,-0.4946904470010571,0.4946904470010571
3W-FRI,mom6m,ma_regime,0.49290754724641284,0.49290754724641284
3W-FRI,downside_vol_1m,max_dd_6m,-0.4928630162393286,0.4928630162393286
3W-FRI,ma_regime,baspread,-0.49156184832305366,0.49156184832305366
3W-FRI,vix,lag2_y_excess_lead,-0.4900699042044386,0.4900699042044386
3W-FRI,ma_signal,vol_ratio_1m_3m,-0.4865715511346086,0.4865715511346086
3W-FRI,vol_1m,vol_ratio_1m_3m,0.48567912660539864,0.48567912660539864
3W-FRI,ma_signal,vol_1m,-0.4815977457168748,0.4815977457168748
3W-FRI,ma_signal,vix,-0.47785448712732764,0.47785448712732764
3W-FRI,vol_1w,vol_ratio_1m_3m,0.4760067242102472,0.4760067242102472
3W-FRI,cpi_chg_12p,term_spread,0.4742978676673123,0.4742978676673123
3W-FRI,downside_vol_1m,vix,0.47257512576792077,0.47257512576792077
3W-FRI,vix_slope,spy_ret,0.4697563544782014,0.4697563544782014
3W-FRI,mom6m,max_dd_6m,0.4693280735862353,0.4693280735862353
3W-FRI,mom6m,cpi_chg_12p,-0.46565089367116597,0.46565089367116597
3W-FRI,mom6m,downside_vol_1m,-0.46036412977706775,0.46036412977706775
3W-FRI,vol_1w,vol_of_vol,0.4601540536108199,0.4601540536108199
3W-FRI,erp,cpi_chg_1p,0.4586714582788715,0.4586714582788715
3W-FRI,ma_regime,vol_1w,-0.4548471727385606,0.4548471727385606
3W-FRI,vol_1w,vix,0.4540265016041022,0.4540265016041022
3W-FRI,vix,cpi_chg_12p,0.4530839240919826,0.4530839240919826
3W-FRI,ret_kurt,hy_spread,0.4516139617143995,0.4516139617143995
3W-FRI,chmom,tbill3m,-0.4467981559087355,0.4467981559087355
3W-FRI,vol_ratio_1m_3m,baspread,0.44549891103142036,0.44549891103142036
