horizon,feature,mean,std,min,p01,p05,p50,p95,p99,max,missing_rate,unique_count
BME,lag_y_excess_lead,0.00804026789112774,0.051902237427177464,-0.13268639869085574,-0.0994407013433722,-0.08365201931185014,0.013132172396823516,0.09820422996160634,0.11921459061608769,0.1394564917468888,0.0,320
BME,lag2_y_excess_lead,0.008469872387678861,0.05196877555235572,-0.13268639869085574,-0.0994407013433722,-0.08365201931185014,0.013640640813179838,0.09820422996160634,0.11921459061608769,0.1394564917468888,0.0,320
BME,mom6m,0.07015806453332335,0.12445652648106476,-0.3083956362862885,-0.227278764141975,-0.12307912390764096,0.07112485987391692,0.250895031018154,0.4649249374632218,0.5580546592972424,0.0,320
BME,mom12m,0.16103253998009331,0.21056009542091622,-0.3397986631681742,-0.25369372844042937,-0.1692592503363515,0.15349992740069573,0.5225796277574092,0.7434571963083327,0.9595715304228511,0.0,320
BME,mom12m_skip1m,0.14735064625125013,0.20197980099141818,-0.3103794171977148,-0.26411544495006295,-0.15144518902719578,0.1386327944742375,0.4968014102143061,0.7169329299473309,0.9571428263231738,0.0,320
BME,chmom,0.09087447544676998,0.1490985099718971,-0.2949395686573222,-0.2280710290403837,-0.1319911263834402,0.08224429227373986,0.4016641765222295,0.4895219798759588,0.5750932239836289,0.0,320
BME,short_reversal_1m,-0.012156101755098155,0.05185264579325579,-0.14304368235410148,-0.12264314859959724,-0.0947391312827176,-0.01640713098671942,0.08252043396716924,0.10115516296803534,0.14494372052023363,0.0,320
BME,cs_mom_rank,0.6,0.28328569271860443,0.2,0.2,0.2,0.6,1.0,1.0,1.0,0.0,5
BME,ma_signal,0.009390533583470563,0.031328647600277135,-0.08783457195245248,-0.07025063630932928,-0.04960152885979593,0.012511462532253437,0.053532243978249794,0.07418335666718438,0.08314003401291292,0.0,320
BME,ma_regime,0.671875,0.47026596556619527,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2
BME,trend_slope,0.10858425135736363,0.5990006136227366,-2.135464200106538,-1.7876045888925538,-0.754886694573753,0.08506885875355186,1.1636771937779087,1.6223560791015568,3.28973309405438,0.0,320
BME,vol_1w,0.010916809270388444,0.004537422053916592,0.0040990214117031624,0.004604452773384312,0.005411353164369451,0.010190624832689555,0.019574221440362267,0.027090515357261813,0.03282161349891146,0.0,320
BME,vol_1m,0.011565101882202134,0.004509670216224771,0.004730346474446255,0.005196830236281375,0.005918449687203998,0.01114593729849752,0.019811040784868814,0.026720414151211347,0.032239843089971854,0.0,320
BME,vol_3m,0.011823701921572964,0.004063980215611062,0.005569218418493946,0.005721773150545314,0.006380914973443943,0.011547592990435143,0.020035757572737522,0.02338462699601998,0.024959763830862063,0.0,320
BME,vol_of_vol,0.0005249636748869956,0.0003359339968923328,0.00014914848796191308,0.0001728349404126731,0.00022232658032747752,0.0004614600011119467,0.0010972248565738823,0.001964495100706058,0.002677919356595262,0.0,320
BME,vol_z,0.014704483655523728,0.5356697980069255,-1.1769640037390623,-1.0657441521791247,-0.7806637987394744,-0.040989728521652856,0.9561340599024717,1.3591277711997762,1.5925300011599464,0.0,320
BME,vol_accel,0.06673931172998564,0.06160803991666057,-0.029373038482811066,-0.010976252340144344,0.008031957377975994,0.053472378145765234,0.1824893593189923,0.3074894633916162,0.46246266830323063,0.0,320
BME,vol_ratio_1m_3m,-0.01716506507720982,0.17501777040742694,-0.5885870106035931,-0.4979662728170785,-0.2797907291991658,-0.022452375296281003,0.24568367992838377,0.45846037465593176,0.5290212673893515,0.0,320
BME,downside_vol_1m,0.00655160289373639,0.0029311903598903018,0.002140782846667912,0.0023758183045274033,0.0029844324884968614,0.006022305085534081,0.0119707040844459,0.0170249297007777,0.019295511774437005,0.0,320
BME,max_dd_3m,-0.11011536058744704,0.06733447339689264,-0.3183452705108243,-0.29233115005175364,-0.2533293583466465,-0.09103556808188706,-0.03404014184036266,-0.026577699880295545,-0.019937639491478087,0.0,264
BME,max_dd_6m,-0.1510060627516625,0.08792871266979031,-0.40755279766903696,-0.40755279766903696,-0.3288393097555584,-0.11332835013915563,-0.05028205740277892,-0.04115606301885927,-0.03513466356439565,0.0,194
BME,ret_skew,-0.04624069017239579,0.4720590987445218,-1.152061313842068,-1.0168415674627318,-0.7679268575481296,-0.09437818242967623,0.90866899088083,1.1857367641269834,1.2533924279193813,0.0,320
BME,ret_kurt,0.901673183046503,1.896779491160879,-1.0042356202254936,-0.9202535738002788,-0.7309053504584839,0.47584062495377033,5.302438357143826,8.452888864830994,10.726380348513231,0.0,320
BME,ret_autocorr,-0.0533735156454185,0.16898119786245233,-0.5854003877161456,-0.4708320853257891,-0.3202459534768557,-0.06110774891732812,0.23151547162869107,0.3237978786315177,0.38636077071154473,0.0,320
BME,vol_autocorr,0.9388262968028627,0.040576301069990925,0.7258951305188476,0.8046913197757677,0.8600574199805616,0.9489208343195543,0.9807211457696645,0.9876129318582882,0.9923737854962984,0.0,320
BME,ill_log,0.03406149579430329,0.05550830136785432,7.495595072983626e-05,9.141044855690589e-05,0.00015361907261574964,0.015771037128082005,0.1601984599479082,0.24447037940313412,0.2723496396530521,0.0,320
BME,dolvol_log,44.721555374555976,2.1794830694503937,41.244044408923884,41.343896617776025,41.7253553132969,43.79269678833272,48.21534558816255,48.46171758138408,48.46326766024056,0.0,317
BME,turnover,0.006383724052856267,0.1269382690162569,-0.37341155975984136,-0.28053985653983976,-0.19363553564337965,0.0038471172125184,0.22220842907153812,0.3488285614055177,0.48296205999159253,0.0,320
BME,sd_turn,0.366273602727891,0.1128920535868898,0.20242614999916075,0.2083708204812691,0.23257942316790814,0.34550462685318983,0.5775508609921877,0.6487536355555865,0.9038677484075358,0.0,320
BME,baspread,0.07362894362449812,0.027307639529825872,0.03540732118264308,0.03637821912384257,0.03925038602606296,0.07006847467247163,0.12254269005228578,0.15675311748127588,0.18455685630156857,0.0,320
BME,vix,19.004531294107437,4.993968885240672,12.4399995803833,12.4399995803833,12.920000076293945,17.440000534057617,28.709999084472656,33.400001525878906,33.400001525878906,0.0,60
BME,vix_slope,0.11508734996699407,0.06938865298793803,-0.022708419740380403,-0.022708419740380403,-0.006608651707769919,0.1297280611783751,0.21372039497289474,0.23950148007289185,0.23950148007289185,0.0,64
BME,vix_ts_z_12p,0.08155310753611189,0.9787980667937939,-2.1618688676092583,-2.1618688676092583,-1.5056566360743773,0.30232476962203836,1.1255081260081117,2.21536709023892,2.21536709023892,0.0,64
BME,spy_ret,-3.116831498210168e-05,0.011137078644132487,-0.037655756022568536,-0.037655756022568536,-0.016451854235812403,-0.0012918000675154872,0.016123809891503256,0.03101457778629879,0.03101457778629879,0.0,63
BME,erp,-0.033070543498343805,0.019746967758455074,-0.06841791640589447,-0.06841791640589447,-0.05804069636460274,-0.03812209823504653,0.00044155948012098583,0.01612080795652411,0.01612080795652411,0.0,64
BME,pct_above_50dma,102.14880248244296,18.894347410452472,0.0,0.0,97.40029023921878,105.29778584448829,111.97266716933925,113.24755665194442,113.24755665194442,0.0,63
BME,spy_flow_z_12p,0.0046997578307562664,1.0186553782824475,-2.409715126255485,-2.409715126255485,-1.4083789731951701,-0.10043950886644765,1.6220123149076844,1.8927997967647525,1.8927997967647525,0.0,64
