horizon,feature,corr_to_target,abs_corr_to_target,n
3W-FRI,hy_spread_z_12p,0.2742828111353261,0.2742828111353261,465
3W-FRI,lag2_y_excess_lead,-0.22097107947881953,0.22097107947881953,465
3W-FRI,short_reversal_1m,0.20755951495752595,0.20755951495752595,465
3W-FRI,vol_z,0.20432835403902977,0.20432835403902977,465
3W-FRI,vix_slope,-0.18385445286174149,0.18385445286174149,465
3W-FRI,vix,0.18351692272222073,0.18351692272222073,465
3W-FRI,turnover,0.17068985514400262,0.17068985514400262,465
3W-FRI,trend_slope,-0.16802542897876835,0.16802542897876835,465
3W-FRI,cpi_chg_12p,-0.15735225887466434,0.15735225887466434,465
3W-FRI,vix_ts_z_12p,-0.1462271524234582,0.1462271524234582,465
3W-FRI,hy_spread_chg_1p,0.136215087092358,0.136215087092358,465
3W-FRI,spy_flow_z_12p,-0.1192941248363175,0.1192941248363175,465
3W-FRI,vol_ratio_1m_3m,0.10547192369129055,0.10547192369129055,465
3W-FRI,erp,-0.09661857865849809,0.09661857865849809,465
3W-FRI,vol_accel,0.08696613230621596,0.08696613230621596,465
3W-FRI,hy_spread,0.08636810115269351,0.08636810115269351,465
3W-FRI,mom6m,-0.07980146350816908,0.07980146350816908,465
3W-FRI,tbill3m,0.07740316728866413,0.07740316728866413,465
3W-FRI,downside_vol_1m,0.06653023643097637,0.06653023643097637,465
3W-FRI,term_spread,-0.06152927283782476,0.06152927283782476,465
3W-FRI,ma_signal,-0.06129679333226632,0.06129679333226632,465
3W-FRI,spy_ret,-0.06053073429368731,0.06053073429368731,465
3W-FRI,cpi_chg_1p,-0.058679498922588606,0.058679498922588606,465
3W-FRI,ma_regime,-0.05235494888349304,0.05235494888349304,465
3W-FRI,vol_1w,0.0496889600180312,0.0496889600180312,465
3W-FRI,ret_skew,-0.04816704335094201,0.04816704335094201,465
3W-FRI,vol_3m,-0.045311783115364684,0.045311783115364684,465
3W-FRI,sd_turn,0.04303796911317681,0.04303796911317681,465
3W-FRI,mom12m,-0.03309874826883927,0.03309874826883927,465
3W-FRI,ret_autocorr,0.02821209185972868,0.02821209185972868,465
3W-FRI,cs_mom_rank,-0.021223713583220578,0.021223713583220578,465
3W-FRI,mom12m_skip1m,0.02081839844792682,0.02081839844792682,465
3W-FRI,lag_y_excess_lead,-0.01980295701546106,0.01980295701546106,465
3W-FRI,chmom,0.019528664497440403,0.019528664497440403,465
3W-FRI,baspread,-0.013448599528788855,0.013448599528788855,465
3W-FRI,ill_log,0.012478759240343586,0.012478759240343586,465
3W-FRI,vol_1m,0.012183998910738313,0.012183998910738313,465
3W-FRI,dolvol_log,0.009420151505277643,0.009420151505277643,465
3W-FRI,ret_kurt,-0.009343108728064268,0.009343108728064268,465
3W-FRI,max_dd_3m,0.006905371505436558,0.006905371505436558,465
3W-FRI,vol_autocorr,-0.0051489617512099975,0.0051489617512099975,465
3W-FRI,vol_of_vol,0.0049405057026600425,0.0049405057026600425,465
3W-FRI,pct_above_50dma,0.004685949217537125,0.004685949217537125,465
3W-FRI,max_dd_6m,0.00038419803646462617,0.00038419803646462617,465
BME,spy_ret,0.21214161372385043,0.21214161372385043,320
BME,lag_y_excess_lead,-0.1879660849154138,0.1879660849154138,320
BME,hy_spread,0.1710483062661548,0.1710483062661548,320
BME,cpi_chg_12p,-0.16464580687394043,0.16464580687394043,320
BME,hy_spread_z_12p,0.1544352310854153,0.1544352310854153,320
BME,vol_accel,0.13391938879511622,0.13391938879511622,320
BME,hy_spread_chg_1p,0.120969642395902,0.120969642395902,320
BME,vix,-0.11570285773909698,0.11570285773909698,320
BME,tbill3m,0.11288974758688472,0.11288974758688472,320
