horizon,feature,n,mean,std,skew,kurtosis,p01,p99,max_abs_robust_z,share_abs_robust_z_gt_5
BME,mom6m,320,0.07015806453332335,0.12445652648106476,0.392118015952011,1.8236442986704509,-0.227278764141975,0.4649249374632218,4.479579776893303,0.0
BME,mom12m,320,0.16103253998009331,0.21056009542091622,0.5227582930624469,0.810970149405382,-0.25369372844042937,0.7434571963083327,4.036065620501681,0.0
BME,mom12m_skip1m,320,0.14735064625125013,0.20197980099141818,0.6283850731502653,1.2038524909686545,-0.26411544495006295,0.7169329299473309,4.469148385693623,0.0
BME,chmom,320,0.09087447544676998,0.1490985099718971,0.4715697619204405,0.665792563863957,-0.2280710290403837,0.4895219798759588,3.6561063831559015,0.0
BME,short_reversal_1m,320,-0.012156101755098155,0.05185264579325579,0.16927515452293082,-0.19433592545910283,-0.12264314859959724,0.10115516296803534,3.3058749423455414,0.0
BME,cs_mom_rank,320,0.6,0.28328569271860443,0.0,-1.3015564549729186,0.2,1.0,1.3489815189531902,0.0
BME,ma_signal,320,0.009390533583470563,0.031328647600277135,-0.5210169483043352,0.20813241228117318,-0.07025063630932928,0.07418335666718438,3.4863329636424933,0.0
BME,ma_regime,320,0.671875,0.47026596556619527,-0.7355666261517783,-1.4681570857822825,0.0,1.0,0.0,0.0
BME,trend_slope,320,0.10858425135736363,0.5990006136227366,0.23496320394503395,4.533115166959738,-1.7876045888925538,1.6223560791015568,8.898674764026275,0.025
BME,vol_1w,320,0.010916809270388444,0.004537422053916592,1.3208662329716927,2.84073086073733,0.004604452773384312,0.027090515357261813,5.281130542317122,0.003125
BME,vol_1m,320,0.011565101882202134,0.004509670216224771,1.1469100720045378,2.0693974087080917,0.005196830236281375,0.026720414151211347,4.958959246344438,0.0
BME,vol_3m,320,0.011823701921572964,0.004063980215611062,0.6862930512805321,0.16988352325786238,0.005721773150545314,0.02338462699601998,3.355235442513263,0.0
BME,vol_of_vol,320,0.0005249636748869956,0.0003359339968923328,3.074080701718271,12.391407209038892,0.0001728349404126731,0.001964495100706058,11.682191257876433,0.034375
BME,vol_z,320,0.014704483655523728,0.5356697980069255,0.440118394075012,-0.0717564198573295,-1.0657441521791247,1.3591277711997762,3.1753207526635228,0.0
BME,vol_accel,320,0.06673931172998564,0.06160803991666057,2.6546266868754964,10.913532172726763,-0.010976252340144344,0.3074894633916162,10.317660915437802,0.01875
BME,vol_ratio_1m_3m,320,-0.01716506507720982,0.17501777040742694,0.04527107106738122,0.8870968818246898,-0.4979662728170785,0.45846037465593176,3.4527127048731936,0.0
BME,downside_vol_1m,320,0.00655160289373639,0.0029311903598903018,1.371353707252532,2.762609371459815,0.0023758183045274033,0.0170249297007777,5.287713535261492,0.003125
BME,max_dd_3m,320,-0.11011536058744704,0.06733447339689264,-0.9995964469435243,0.19617630605127445,-0.29233115005175364,-0.026577699880295545,3.822872641909869,0.0
BME,max_dd_6m,320,-0.1510060627516625,0.08792871266979031,-0.9782621306256138,0.16215495753552656,-0.40755279766903696,-0.04115606301885927,4.159309287522584,0.0
BME,ret_skew,320,-0.04624069017239579,0.4720590987445218,0.4516153473492855,0.2247143699763252,-1.0168415674627318,1.1857367641269834,3.2081096378115705,0.0
BME,ret_kurt,320,0.901673183046503,1.896779491160879,2.612080720132528,7.816035453800591,-0.9202535738002788,8.452888864830994,10.635218693303493,0.053125
BME,ret_autocorr,320,-0.0533735156454185,0.16898119786245233,-0.04848566781477706,0.10590041902105796,-0.4708320853257891,0.3237978786315177,3.222817453617728,0.0
BME,vol_autocorr,320,0.9388262968028627,0.040576301069990925,-1.6084373329260837,3.4733704322892525,0.8046913197757677,0.9876129318582882,6.9252547724989695,0.00625
BME,ill_log,320,0.03406149579430329,0.05550830136785432,2.40782326654248,5.485191894666281,9.141044855690589e-05,0.24447037940313412,12.056076519533566,0.09375
BME,dolvol_log,320,44.721555374555976,2.1794830694503937,0.34122943400290384,-1.2631752534343077,41.343896617776025,48.46171758138408,1.7488640881020436,0.0
BME,turnover,320,0.006383724052856267,0.1269382690162569,0.3522329585094771,1.0555576102020936,-0.28053985653983976,0.3488285614055177,4.197378199491552,0.0
BME,sd_turn,320,0.366273602727891,0.1128920535868898,1.281918324869502,2.465846740289951,0.2083708204812691,0.6487536355555865,5.668281592478773,0.00625
BME,baspread,320,0.07362894362449812,0.027307639529825872,1.028572806339924,1.4265912640984757,0.03637821912384257,0.15675311748127588,4.332303971144269,0.0
BME,vix,320,19.004531294107437,4.993968885240672,0.981566144932779,0.29624828924313285,12.4399995803833,33.400001525878906,4.367087400189272,0.0
BME,vix_slope,320,0.11508734996699407,0.06938865298793803,-0.2759066732333363,-1.020741936539253,-0.022708419740380403,0.23950148007289185,1.883747641834696,0.0
BME,vix_ts_z_12p,320,0.08155310753611189,0.9787980667937939,-0.44014106378107176,-0.7238729197717828,-2.1618688676092583,2.21536709023892,2.2814872540502344,0.0
BME,spy_ret,320,-3.116831498210168e-05,0.011137078644132487,-0.08383582011530122,1.770858465857378,-0.037655756022568536,0.03101457778629879,4.631459731574385,0.0
BME,erp,320,-0.033070543498343805,0.019746967758455074,0.5243033821485499,-0.597500775833514,-0.06841791640589447,0.01612080795652411,3.296567906195448,0.0
BME,pct_above_50dma,320,102.14880248244296,18.894347410452472,-4.957716834536903,24.276361666577024,0.0,113.24755665194442,23.98476064256023,0.03125
BME,spy_flow_z_12p,320,0.0046997578307562664,1.0186553782824475,-0.095735735380977,-0.5520951103317184,-2.409715126255485,1.8927997967647525,2.146988973383097,0.0
BME,hy_spread,320,0.0071359375,0.013015777346489359,1.318483936322576,-0.15409538625502828,0.0,0.0394,0.0,0.0
BME,hy_spread_chg_1p,320,-2.3437499999999967e-05,0.0015445061082231292,0.13200110865391343,9.907363457391558,-0.0063,0.006799999999999997,0.0,0.0
BME,hy_spread_z_12p,320,-0.003740003813282397,0.473533498644706,2.6666621791478793,12.524775011730462,-1.1970765457343384,2.315050706130437,0.0,0.0
BME,cpi_chg_1p,320,0.0038088084184958702,0.002751626076513063,1.097101833314867,0.9702505757883317,-0.00041829647960411886,0.012561019986405686,4.5431367817373545,0.0
BME,cpi_chg_12p,320,0.04472429766512202,0.020656986939042235,0.842073943236238,-0.7095257934602479,0.016698167791706853,0.08979361103105798,4.898057812616015,0.0
BME,term_spread,320,0.001799062180143664,0.010306692314912992,0.07367139109561463,-1.1949725162305096,-0.01611000061035156,0.020790000557899473,1.2826492166720707,0.0
BME,tbill3m,320,0.0330393751833617,0.01942132332853237,-0.7826066521171263,-0.9823581458230479,3.0000000260770322e-05,0.05320000171661377,2.837606765197,0.0
BME,lag_y_excess_lead,320,0.00804026789112774,0.051902237427177464,-0.04321985474900299,-0.36554814911965483,-0.0994407013433722,0.11921459061608769,2.8031049948643525,0.0
