date,asset_id,y_excess_lead
2014-07-31,BND,0.011396940037408987
2014-07-31,BNDX,0.013661549587385302
2014-07-31,EWX,0.02691085406365823
2014-07-31,HYEM,0.0026782753705509865
2014-07-31,HYG,0.02378331212383511
2014-07-31,IEF,0.018784390644848825
2014-07-31,IJR,0.04249032168620359
2014-07-31,IWM,0.04827649362261299
2014-07-31,LQD,0.020021721242998725
2014-07-31,MGK,0.044445975171708785
2014-07-31,SPY,0.039445087610787244
2014-07-31,VEA,0.0026269502409796974
2014-07-31,VNQ,0.030421656593261126
2014-07-31,VNQI,0.002539419124902187
2014-07-31,VSS,0.014545848265677064
2014-07-31,VTV,0.03436460931051788
2014-07-31,VWO,0.03840738323013837
2014-07-31,VWOB,0.011040369771466052
2014-08-29,BND,-0.005726862708683944
2014-08-29,BNDX,-0.0012761359628855606
2014-08-29,EWX,-0.0610668695408354
2014-08-29,HYEM,-0.014688181436271597
2014-08-29,HYG,-0.019837632567393793
2014-08-29,IEF,-0.010505472951508388
2014-08-29,IJR,-0.05213107032177078
2014-08-29,IWM,-0.05928893837982374
2014-08-29,LQD,-0.016826440164410816
2014-08-29,MGK,-0.014463893206337342
2014-08-29,SPY,-0.013806873901029193
2014-08-29,VEA,-0.041537782075782514
2014-08-29,VNQ,-0.06041541413506535
2014-08-29,VNQI,-0.06580989069860388
2014-08-29,VSS,-0.0627162299418107
2014-08-29,VTV,-0.012795186294734084
2014-08-29,VWO,-0.07166749139581663
2014-08-29,VWOB,-0.02205039948784726
2014-09-30,BND,0.007217525266081992
2014-09-30,BNDX,0.0060425130953161155
2014-09-30,EWX,-0.015224175630796921
2014-09-30,HYEM,0.0006997601528579978
2014-09-30,HYG,0.010595060294848135
2014-09-30,IEF,0.015353320371746637
2014-09-30,IJR,0.06911713707594602
2014-09-30,IWM,0.0659245520999463
2014-09-30,LQD,0.012333189553355162
2014-09-30,MGK,0.028403677052025733
2014-09-30,SPY,0.023541125863728807
2014-09-30,VEA,-0.0035313363103469664
2014-09-30,VNQ,0.09936260944816544
2014-09-30,VNQI,0.044250454898489444
2014-09-30,VSS,-0.01489284889657816
2014-09-30,VTV,0.017970397715812547
2014-09-30,VWO,0.022287486259320977
2014-09-30,VWOB,0.016213360712913794
2014-10-31,BND,0.008301452006313381
2014-10-31,BNDX,0.009054477412858697
2014-10-31,EWX,-0.01270780895014556
2014-10-31,HYEM,-0.01995895671055592
2014-10-31,HYG,-0.01081967671647266
2014-10-31,IEF,0.012876566871723227
2014-10-31,IJR,-0.0018929315283370274
2014-10-31,IWM,0.001105931018281714
2014-10-31,LQD,0.009107128858160118
2014-10-31,MGK,0.03086896654165483
2014-10-31,SPY,0.02746228143305207
2014-10-31,VEA,-9.444399638458556e-06
2014-10-31,VNQ,0.019993513073011338
2014-10-31,VNQI,-0.01126481551584968
2014-10-31,VSS,-0.01889376685095756
2014-10-31,VTV,0.024669351927268712
2014-10-31,VWO,-0.01103248255618472
2014-10-31,VWOB,-0.005132260431794933
2014-11-28,BND,0.0005520040392461567
2014-11-28,BNDX,0.009818407524324613
2014-11-28,EWX,-0.029724623251346283
2014-11-28,HYEM,-0.06168773473328437
2014-11-28,HYG,-0.008046854159883376
2014-11-28,IEF,0.0012783199396337874
2014-11-28,IJR,0.028898782514974908
2014-11-28,IWM,0.028912560856892533
2014-11-28,LQD,-0.00018873114770268096
2014-11-28,MGK,-0.014447058430492765
2014-11-28,SPY,-0.0025525776664707678
2014-11-28,VEA,-0.03771337081722925
2014-11-28,VNQ,0.019022453529521366
2014-11-28,VNQI,-0.023896734870177627
2014-11-28,VSS,-0.020230782477964504
2014-11-28,VTV,0.00353713478722284
2014-11-28,VWO,-0.04681879605361805
2014-11-28,VWOB,-0.02668982197196179
2014-12-31,BND,0.024023545165185567
2014-12-31,BNDX,0.01787253518698484
2014-12-31,EWX,-0.009936933989972974
2014-12-31,HYEM,-0.015250858492798725
2014-12-31,HYG,0.007016614334728777
2014-12-31,IEF,0.043008118882911894
2014-12-31,IJR,-0.03587191131131939
2014-12-31,IWM,-0.032784145532916975
2014-12-31,LQD,0.0375034258723721
2014-12-31,MGK,-0.014164313650275928
2014-12-31,SPY,-0.029643141361533343
2014-12-31,VEA,0.007113757637874807
2014-12-31,VNQ,0.06850354950158777
2014-12-31,VNQI,0.02651777641795272
2014-12-31,VSS,-0.006204236405014774
2014-12-31,VTV,-0.04096515836784187
2014-12-31,VWO,-0.0020130775970916837
2014-12-31,VWOB,0.005879832170405663
2015-01-30,BND,-0.013074152688501095
2015-01-30,BNDX,-0.0018227018662718697
2015-01-30,EWX,0.03370493354600934
2015-01-30,HYEM,0.03300185263219113
2015-01-30,HYG,0.02230361560169647
2015-01-30,IEF,-0.02472426641159986
2015-01-30,IJR,0.06009930526081564
2015-01-30,IWM,0.05945637825363037
2015-01-30,LQD,-0.01421190607145062
2015-01-30,MGK,0.06264797777055464
2015-01-30,SPY,0.05619674784092621
2015-01-30,VEA,0.0615909405376176
2015-01-30,VNQ,-0.03674904263682144
2015-01-30,VNQI,0.036759345639695296
2015-01-30,VSS,0.06280856345945329
2015-01-30,VTV,0.05305877769487455
2015-01-30,VWO,0.04656234965284245
2015-01-30,VWOB,0.01487983802618631
2015-02-27,BND,0.0054357769736388395
2015-02-27,BNDX,0.004851254583518649
2015-02-27,EWX,-0.013897671009936996
2015-02-27,HYEM,0.014709738840234854
2015-02-27,HYG,-0.009491964559850574
2015-02-27,IEF,0.008545024633571208
2015-02-27,IJR,0.01598620003162554
2015-02-27,IWM,0.01768431595411646
2015-02-27,LQD,0.0019366312727360224
2015-02-27,MGK,-0.01845584742059503
2015-02-27,SPY,-0.015720714274581993
2015-02-27,VEA,-0.012198299651083211
2015-02-27,VNQ,0.01730358709131785
2015-02-27,VNQI,-0.011781320183711808
2015-02-27,VSS,-0.013376664772155822
2015-02-27,VTV,-0.013283051346185681
2015-02-27,VWO,-0.020567230229270983
2015-02-27,VWOB,0.00523401693136738
2015-03-31,BND,-0.003246137450395814
2015-03-31,BNDX,-0.010263499605433268
2015-03-31,EWX,0.05987569669186432
2015-03-31,HYEM,0.04321182688450009
2015-03-31,HYG,0.008701048618261042
2015-03-31,IEF,-0.006341601017487486
2015-03-31,IJR,-0.023056661444123994
2015-03-31,IWM,-0.02566098487714752
2015-03-31,LQD,-0.011883305816404066
