asset,prediction
BND,0.00020546710476157567
EWX,0.006747748316295392
HYG,0.002789476553394334
IEF,-7.553085171697232e-05
IJR,0.005867244669948122
SPY,0.012497169539846496
VEA,0.010543648847892911
VNQ,0.0019281573313907662
VNQI,0.004877861961166363
VSS,0.009312585936974161
VTV,0.00819356746195156
VWO,0.009526571184262632
VWOB,0.004149638826769366
