asset,weight
BND,0.05581555649383175
EWX,6.344703285160531e-10
HYG,0.13215719315399121
IEF,0.07388273060652532
IJR,0.17457824609907555
SPY,0.07955728711154653
VEA,0.10682242579626629
VNQ,0.004551975922010197
VNQI,1.9711789638196283e-08
VSS,0.06900848571361266
VTV,0.20196954739478223
VWO,0.051488064048904644
VWOB,0.05016846731319363
