variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
positive_beta_prior,2025-05-30,0.42973444536731437,0.9922429081628941,0.7413365005405924,0.0,0.7610641925760766,0.9607731523085739,0.8380563830538232,0.7215355797111122
positive_beta_prior,2025-06-30,0.43729728650067057,0.9907585486644652,0.7411946337057007,0.0,0.7602179841549365,0.9560455909724495,0.8377970092269522,0.7214177694257595
positive_beta_prior,2025-07-31,0.46142969180189786,0.9930584651664474,0.747575577711686,0.0,0.7657587361099681,0.9517758013738177,0.8401482823110088,0.7286236854315096
positive_beta_prior,2025-08-29,0.40075341901603717,0.9929011456878151,0.7298832360511157,0.0,0.7496679468579738,0.9485076815277211,0.8363087928462203,0.7080953267859761
positive_beta_prior,2025-09-30,0.4594388628942638,0.9925658682994359,0.7632052881388863,0.0,0.7810680943423718,0.963693140789111,0.8543853932667627,0.7445384949631006
positive_beta_prior,2025-10-31,0.4691859270473309,0.994557715745658,0.7518867737773379,0.0,0.7695091224363168,0.953338440069736,0.8470857219822794,0.7323972253259324
positive_beta_prior,2025-11-28,0.47217726874530913,0.9902420232832787,0.7510703996397223,0.0,0.7686891324617989,0.9489723348834097,0.8451554954652527,0.7318088839589052
positive_beta_prior,2025-12-31,0.4317651266302487,0.9911610804907744,0.7436428695330647,0.0,0.7620352085473794,0.9487980486806441,0.8283803944801628,0.7262950297801155
positive_beta_prior,2026-01-30,0.4619412086164666,0.9906492963529121,0.7355712755018181,0.0,0.7541244482645285,0.9469588260173126,0.8284665367088138,0.7165533480106221
positive_beta_prior,2026-02-27,0.4225110968891294,0.9922618613769751,0.7368071250816314,0.0,0.755393490192776,0.9441249306952179,0.8388731087009418,0.7159117268603551
positive_beta_prior,2026-03-31,0.4160697938564636,0.9952891023077972,0.7324504793244099,0.0,0.7525186361651458,0.9597265041570999,0.8354229136202004,0.711369508523697
positive_beta_prior,2026-04-30,0.42217645192372427,0.9943704973359909,0.7388834908238894,0.0,0.7592273739998535,0.9682433356836131,0.8489313310135125,0.7163540117299508
