variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after
positive_beta_prior,2025-05-30,SPY,0.025,-0.08726527334812433,0.08446765295752373,50,2,2,0.007317202496114117,0.007339403368090969,0.04660963933841646,0.045970582363146675
positive_beta_prior,2025-05-30,MGK,0.025,-0.10416989711604145,0.10925584300961604,50,2,2,0.009610770673104944,0.009747712614271889,0.06085175929764698,0.05849293077971653
positive_beta_prior,2025-05-30,VTV,0.025,-0.07713522345481458,0.06779536033368339,50,2,2,0.005312478651329571,0.0044816861956759315,0.04217156432394841,0.03987973604161661
positive_beta_prior,2025-05-30,IJR,0.025,-0.08563774401576346,0.11672419784623056,50,2,2,-0.00041575730887501996,-0.0002863624086361738,0.059575209762081326,0.05870507828424886
positive_beta_prior,2025-05-30,IWM,0.025,-0.09821346086358855,0.107895051081342,50,2,2,-0.0015216367751140637,-0.0016562074375116543,0.06076574683985708,0.06035695067754809
positive_beta_prior,2025-05-30,VNQ,0.025,-0.08648593999131485,0.09909533690081578,50,2,2,0.0013147227365438608,0.0018744869906895012,0.05871827671593424,0.056310026873890556
positive_beta_prior,2025-05-30,VNQI,0.025,-0.07533415829578688,0.08614004981187844,50,2,2,-0.003141402592921254,-0.003076607317609481,0.04894271164589665,0.044889809103554563
positive_beta_prior,2025-05-30,VEA,0.025,-0.08735504638316614,0.08536921538218274,50,2,2,0.003213867729195683,0.0028618586600218945,0.04620801201923399,0.04370442612376286
positive_beta_prior,2025-05-30,VWO,0.025,-0.06851026555774681,0.07683995962994035,50,2,2,-0.0013812432635037686,-0.0019453218656385763,0.04203746163569985,0.036862049209069984
positive_beta_prior,2025-05-30,VSS,0.025,-0.09835252091975812,0.08747508198409755,50,2,2,0.00044890942076046157,0.00036867291498190015,0.046586508315900846,0.04471141964770796
positive_beta_prior,2025-05-30,BND,0.025,-0.03805091226577877,0.032517856130827444,50,2,2,-0.003237055002469442,-0.0032357666368484903,0.01930066011193847,0.018589582790835706
positive_beta_prior,2025-05-30,IEF,0.025,-0.042440195103160785,0.03312834601472145,50,2,2,-0.0040674968930327,-0.0040642338640520465,0.022985665875243404,0.022404478704243478
positive_beta_prior,2025-05-30,BNDX,0.025,-0.0314189590767589,0.02917279853722323,50,2,2,-0.0027348125869511297,-0.002626201685329229,0.015916552039829987,0.015556831680722243
positive_beta_prior,2025-05-30,LQD,0.025,-0.058761828738526124,0.05923841175240195,50,2,2,-0.003152480733546488,-0.0032054403947359,0.029857848780693245,0.028643832070665336
positive_beta_prior,2025-05-30,HYG,0.025,-0.04467685728209108,0.0414939051171181,50,2,2,5.2760762575032596e-05,8.246973837644985e-05,0.023523287034608542,0.020789378982418127
positive_beta_prior,2025-05-30,EWX,0.025,-0.06734897180660158,0.07172199447801583,50,2,2,0.0014349156952656505,0.0012449705749517975,0.036683836446088615,0.03376178047017875
