strategy,n_rebalances,cumulative_return,cagr,annualized_vol,sharpe,max_drawdown,terminal_value,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic
gp_scenarios_riskfolio,12.0,0.19062789109730316,0.19062789109730316,0.09711264039571676,1.9629565247173628,-0.05550229226291836,11906.278910973031,0.01503937112716786,0.8333333333333334,0.229543195442616,0.18902884218372695,0.3708333333333333,0.3941176470588236
historical_y_ewma2_riskfolio,12.0,0.1809351821352747,0.1809351821352747,0.09964392285288322,1.8158175326197459,-0.0611119565138557,11809.351821352748,0.014371726522837129,0.75,0.13513414284015593,0.17190154100934202,,
equal_weight,12.0,0.14931154767663735,0.14931154767663735,0.08817899533597233,1.6932779411666328,-0.05331859623439672,11493.115476766374,0.011989864731385018,0.75,0.08333333333333333,0.0625,,
