variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after
positive_beta_prior,2025-05-30,SPY,0.01,-0.0916624765591412,0.08828233085276513,50,1,1,0.007317202496114117,0.00734415594214119,0.04660963933841646,0.046401232819545786
positive_beta_prior,2025-05-30,MGK,0.01,-0.12054933787418116,0.1221812231903424,50,1,1,0.009610770673104944,0.009640672480379862,0.06085175929764698,0.05986853140407148
positive_beta_prior,2025-05-30,VTV,0.01,-0.08030579364315261,0.09217468922754943,50,1,1,0.005312478651329571,0.004882310283426175,0.04217156432394841,0.04111430782248473
positive_beta_prior,2025-05-30,IJR,0.01,-0.09354685402036952,0.1212828153204636,50,1,1,-0.00041575730887501996,-0.0003024496849612024,0.059575209762081326,0.05926926136777728
positive_beta_prior,2025-05-30,IWM,0.01,-0.09928383830809724,0.11240581378039365,50,1,1,-0.0015216367751140637,-0.0015962330958252103,0.06076574683985708,0.06060186935022461
positive_beta_prior,2025-05-30,VNQ,0.01,-0.10951707659134415,0.10785297026790233,50,1,1,0.0013147227365438608,0.001588531678259571,0.05871827671593424,0.05749462343832212
positive_beta_prior,2025-05-30,VNQI,0.01,-0.0994897971320153,0.1086018733062697,50,1,1,-0.003141402592921254,-0.003068947803059356,0.04894271164589665,0.04692910803783405
positive_beta_prior,2025-05-30,VEA,0.01,-0.09700843094966038,0.10409539291395846,50,1,1,0.003213867729195683,0.002946752817977568,0.04620801201923399,0.045175371878107703
positive_beta_prior,2025-05-30,VWO,0.01,-0.08692690367959593,0.10962383889812481,50,1,1,-0.0013812432635037686,-0.001641213834609732,0.04203746163569985,0.039427249398341045
positive_beta_prior,2025-05-30,VSS,0.01,-0.10785444572059856,0.09913680385612474,50,1,1,0.00044890942076046157,0.00029810268257216,0.046586508315900846,0.0460044697801891
positive_beta_prior,2025-05-30,BND,0.01,-0.04239097848022037,0.03686179185157638,50,1,1,-0.003237055002469442,-0.0032724120763639643,0.01930066011193847,0.01904698341188315
positive_beta_prior,2025-05-30,IEF,0.01,-0.04645003256798155,0.037061744847981686,50,1,1,-0.0040674968930327,-0.004072531244129418,0.022985665875243404,0.022708145935981156
