variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
positive_no_prior,2025-05-30,0.2657134934059963,0.9869588449570157,0.7169174183919576,0.0,0.7392995821791164,0.9836767433359275,0.8347025818403682,0.692803920363149
positive_no_prior,2025-06-30,0.3548516084360586,0.990788515904555,0.7159304754575638,0.0,0.7375800092952053,0.9577020449309376,0.8321918147587285,0.6921289414274041
positive_no_prior,2025-07-31,0.3933802836363072,0.9823614132510166,0.7572638207058162,0.0,0.7749676554621259,0.9727445057787456,0.8417779315408668,0.7399617192750184
positive_no_prior,2025-08-29,0.23877252856331418,0.9893535937929265,0.7109707770918438,0.0,0.734070819064358,0.9884290424493576,0.8218174076732375,0.6882777661066767
positive_no_prior,2025-09-30,0.4007087248912673,0.9780616966736986,0.7307873740181621,0.0,0.7507113129229261,0.967486957934907,0.8358163778206985,0.7092853732396901
positive_no_prior,2025-10-31,0.2299450960405468,0.9826938848779408,0.6761761038241005,0.0,0.701545088509775,0.9802553091427699,0.8029891447027431,0.6502143789198115
positive_no_prior,2025-11-28,0.07372982105661714,0.9875995799323157,0.7116211265531595,0.0,0.737654136924622,0.9889665042867778,0.8009879814897304,0.6933255499519715
positive_no_prior,2025-12-31,0.2574772932323151,0.9812956768080554,0.6801894626505819,0.0,0.7049667487459508,0.9776221759329293,0.837229028636561,0.6480396302440035
positive_no_prior,2026-01-30,0.4168977800634519,0.9875934214751088,0.7232944028627687,0.0,0.742842191044083,0.9734792624012254,0.8529481417966991,0.6967511177266885
positive_no_prior,2026-02-27,0.37930709369181126,0.9776020343705626,0.6956644628848069,0.0,0.7193205168017853,0.976276709822335,0.8204420228489947,0.6701194506086738
positive_no_prior,2026-03-31,0.24176107001347724,0.9830908002998866,0.6873357985774837,0.0,0.7124166339239136,0.9825569941308615,0.8255037309565102,0.6590494502164232
positive_no_prior,2026-04-30,0.3292838600856112,0.979885710219729,0.6968489724255278,0.0,0.72115925537584,0.9769354116037776,0.8106023692917221,0.6735608754292991
positive_beta_prior,2025-05-30,0.3636935512506165,0.9657132187333598,0.70013809015411,0.0,0.7223744566982574,0.9598995795107081,0.8286115315134176,0.6738364407419681
positive_beta_prior,2025-06-30,0.34608036201917214,0.9778116442537427,0.7029686417846229,0.0,0.7249314873202294,0.9684258107125747,0.804347671639733,0.6822138797670413
positive_beta_prior,2025-07-31,0.4205006881066215,0.9787492973202372,0.7268031544587175,0.0,0.7456498650420541,0.9586027186771163,0.827474954642443,0.7061931796179546
positive_beta_prior,2025-08-29,0.37985759987472206,0.9728733147376587,0.7096559869010824,0.0,0.7309383186703977,0.9534608946646991,0.8258818088035308,0.6858617241494
positive_beta_prior,2025-09-30,0.34027786850954733,0.9746062326311432,0.7461282855552319,0.0,0.7653341449390316,0.9583663290369984,0.7973364733149887,0.7356447195571715
positive_beta_prior,2025-10-31,0.42221021246880575,0.9731335301481874,0.7210353135209109,0.0,0.7406422096874491,0.9589302284854908,0.835637977621728,0.6975733507916098
positive_beta_prior,2025-11-28,0.40712196271935397,0.9728967642748588,0.7177956871085446,0.0,0.7382160014435311,0.9526668812207527,0.8307083345816141,0.6946797120353181
positive_beta_prior,2025-12-31,0.2790315499410688,0.9778686311251853,0.70157463378269,0.0,0.7238751109592639,0.9614267833966313,0.8240197050738688,0.676507138872685
positive_beta_prior,2026-01-30,0.36536880023007057,0.9772699117701741,0.7184136719775982,0.0,0.7380228064671583,0.9564513907861081,0.8170059425513952,0.6982294276081592
positive_beta_prior,2026-02-27,0.43435390744414826,0.9872087173361376,0.7204701624890648,0.0,0.7398530794569664,0.939867087026483,0.8277153991713935,0.6985144447430762
positive_beta_prior,2026-03-31,0.32980109873995084,0.9792236640096493,0.7105717742905461,0.0,0.7309458456190044,0.964298185758316,0.8327594138481561,0.6855569819401693
positive_beta_prior,2026-04-30,0.40473018848059567,0.9741115582851979,0.7366531515955785,0.0,0.754238669576486,0.9719649091707644,0.8541900200209528,0.7125904856187302
signed_no_prior,2025-05-30,0.619697269065715,0.9891523710483525,0.8596576738122403,0.0,0.8692761607760665,0.9950992114234563,0.9073166064591777,0.8499007269711351
signed_no_prior,2025-06-30,0.2165077793845262,0.9867513871258031,0.6907256447954764,0.0,0.7157481703994254,0.9888809175712251,0.8560666940422854,0.656876296130775
signed_no_prior,2025-07-31,0.4123780750288144,0.9887836800335116,0.7747289618105592,0.0,0.7916505734116066,0.992562381727266,0.879708528288205,0.7532370820592301
signed_no_prior,2025-08-29,0.2984766286281197,0.9764110837996375,0.7265643080134355,0.0,0.7497456045497003,0.9795177245022837,0.8404547854749604,0.703248147273281
signed_no_prior,2025-09-30,0.457371124574254,0.9825385663486436,0.7842431004970569,0.0,0.8009139055692878,0.9871095519915379,0.8773332400313035,0.7651852766554
signed_no_prior,2025-10-31,0.39167298721065813,0.9866024684140673,0.8029327158434765,0.0,0.8177808408741117,0.9902452001869191,0.8814663524786785,0.7868549634614666
signed_no_prior,2025-11-28,0.2518885267686423,0.989680846757624,0.7333275032418933,0.0,0.7537049237060565,0.9852365392079115,0.8496988746920293,0.7095034429450153
signed_no_prior,2025-12-31,0.1981558426225604,0.9863160764091269,0.7491715806581101,0.0,0.7699086613751084,0.979174193291818,0.877839426473421,0.7228301319085187
signed_no_prior,2026-01-30,0.3343852423432852,0.9782125079998292,0.6990033014092434,0.0,0.7206201486111252,0.986054026497531,0.8093221562159993,0.6764183390078601
signed_no_prior,2026-02-27,0.46884899426618665,0.9838509433297151,0.8066904469527166,0.0,0.8213633370009644,0.9900039458521408,0.8897185100436192,0.7896925757687524
signed_no_prior,2026-03-31,0.3154892617280629,0.9758105837171992,0.6973182280990964,0.0,0.7210790409731116,0.9782266674026852,0.8251733999888254,0.6711431535389945
