run_id,asset_id,n,rmse,mae,bias,mean_y_true,mean_y_pred,std_y_true,std_y_pred,mean_pred_std,mean_gaussian_nll,standardized_residual_mean,standardized_residual_std,coverage_50,coverage_80,coverage_95
20260705T1510Z_first_round_control_rank2_3w,IWM,3,0.0350197040011823,0.0311153220648755,-0.0218695974562397,0.0238222448937073,0.0019526474374675,0.0243473647514005,0.0182085170057136,0.074800500116573,-1.5665762050898733,0.2846080068494737,0.449689473917969,0.6666666666666666,1.0,1.0
20260705T1510Z_first_round_control_rank2_3w,MGK,3,0.0424341595011097,0.0387512516378157,-0.0173812345740462,0.0147474508490134,-0.0026337837250327,0.0624566108688056,0.0216680672722636,0.0521082775730786,-1.7309958876709874,0.3076159972865891,0.8807801904320195,0.6666666666666666,1.0,1.0
20260705T1510Z_first_round_control_rank2_3w,SPY,3,0.0219183750902126,0.0172862822169648,-0.0057821210939401,0.011516425230691,0.0057343041367509,0.0334181116170316,0.0079749413754101,0.0452549624823202,-2.069896957617653,0.116066935090972,0.5504237539826199,0.6666666666666666,1.0,1.0
20260705T1510Z_first_round_control_rank2_3w,VTV,3,0.0184183170169026,0.0176764366722647,-0.0046931279098885,0.0164267717242621,0.0117336438143736,0.0171420850937977,0.0046855523065043,0.0489386020410881,-2.0276562178458484,0.0834841593917425,0.4506579434969006,1.0,1.0,1.0
20260705T1511Z_first_round_positive_no_prior_rank2_3w,IWM,3,0.0330637288019516,0.0322583002968362,-0.016466899784498,0.0238222448937073,0.0073553451092092,0.0243473647514005,0.0139649013596582,0.0866475697817071,-1.4584201215000985,0.1829361779465026,0.40206270983677,1.0,1.0,1.0
20260705T1511Z_first_round_positive_no_prior_rank2_3w,MGK,3,0.0418676052999531,0.0361184763686408,-0.0144218841426525,0.0147474508490134,0.0003255667063609,0.0624566108688056,0.0169971667597748,0.057576869748465,-1.7102350992707134,0.2122208288056724,0.7870810922345839,0.6666666666666666,1.0,1.0
20260705T1511Z_first_round_positive_no_prior_rank2_3w,SPY,3,0.0200978133768043,0.014771071596293,-0.0077342721541061,0.011516425230691,0.0037821530765848,0.0334181116170316,0.0107982507308336,0.0538087860265655,-1.941998046314313,0.1314840437009009,0.4026758558618072,1.0,1.0,1.0
20260705T1511Z_first_round_positive_no_prior_rank2_3w,VTV,3,0.0206509182654865,0.0193437175946118,-0.0059803930553346,0.0164267717242621,0.0104463786689275,0.0171420850937977,0.0073951878158999,0.0596813318460253,-1.84293210976462,0.0959771702621213,0.3981524674408631,1.0,1.0,1.0
20260705T1512Z_first_round_signed_lkj_rank2_3w,IWM,3,0.0308749151422609,0.0289935666107392,-0.0168369907307753,0.0238222448937073,0.0069852541629319,0.0243473647514005,0.0145467815025943,0.0612173562334398,-1.753884917699663,0.2454172866015297,0.5360568469606277,0.6666666666666666,1.0,1.0
20260705T1512Z_first_round_signed_lkj_rank2_3w,MGK,3,0.0373769390703992,0.0345845080866978,-0.017005019665476,0.0147474508490134,-0.0022575688164625,0.0624566108688056,0.0273788220732168,0.0554209747678972,-1.7830692092684215,0.2813560618401329,0.6893684305490342,0.6666666666666666,1.0,1.0
20260705T1512Z_first_round_signed_lkj_rank2_3w,SPY,3,0.0174438723042001,0.0132367656269028,-0.0108380500233259,0.011516425230691,0.0006783752073651,0.0334181116170316,0.0170031751827899,0.0414020093745288,-2.2015035085974968,0.240664699162896,0.3538726078218888,1.0,1.0,1.0
20260705T1512Z_first_round_signed_lkj_rank2_3w,VTV,3,0.0250507732851854,0.0227388665194257,-0.0105655875011509,0.0164267717242621,0.0058611842231111,0.0171420850937977,0.011456277792249,0.0411198839069206,-2.0802828362042325,0.2283247732742931,0.7198277866545612,0.6666666666666666,1.0,1.0
20260705T1513Z_first_round_signed_lkj_noise_floor_rank2_3w,IWM,3,0.0313470977285691,0.0297128636018843,-0.0174896762321962,0.0238222448937073,0.006332568661511,0.0243473647514005,0.0132742552154164,0.0609993290825771,-1.7575039495687494,0.2507682645937637,0.5288718426988663,1.0,1.0,1.0
20260705T1513Z_first_round_signed_lkj_noise_floor_rank2_3w,MGK,3,0.0390622605235124,0.0339419024126166,-0.0154604282903119,0.0147474508490134,-0.0007129774412984,0.0624566108688056,0.020756261209268,0.0546561095015227,-1.7682016450218994,0.2565116191141977,0.754768970089011,0.6666666666666666,1.0,1.0
20260705T1513Z_first_round_signed_lkj_noise_floor_rank2_3w,SPY,3,0.0196518186546947,0.0137378008311452,-0.0092055905446963,0.011516425230691,0.0023108346859947,0.0334181116170316,0.0121549935810806,0.0411299605437762,-2.183028619802767,0.1964850078113185,0.4701542725581985,0.6666666666666666,1.0,1.0
20260705T1513Z_first_round_signed_lkj_noise_floor_rank2_3w,VTV,3,0.0228842255014201,0.0214127282055048,-0.0108284163441359,0.0164267717242621,0.0055983553801262,0.0171420850937977,0.0077793910424285,0.0415263356699711,-2.115013234948556,0.2276781477346241,0.6148694504479519,0.6666666666666666,1.0,1.0
