run_id,asset_id,n,rmse,mae,bias,mean_y_true,mean_y_pred,std_y_true,std_y_pred,mean_pred_std,mean_gaussian_nll,standardized_residual_mean,standardized_residual_std,coverage_50,coverage_80,coverage_95
20260705T1510Z_first_round_control_rank2_3w,overall,12,0.0310108333055822,0.0262073231479802,-0.0124315202585286,0.0166282231744184,0.0041967029158898,0.0331015988294972,0.0138360587121047,0.055275585553265,-1.8487813170560905,0.1979437746546943,0.5296771772776123,0.75,1.0,1.0
20260705T1511Z_first_round_positive_no_prior_rank2_3w,overall,12,0.0303170293052367,0.0256228914640954,-0.0111508622841478,0.0166282231744184,0.0054773608902706,0.0331015988294972,0.0116123929286162,0.0644286393506907,-1.7383963442124362,0.1556545551787993,0.4500421701130721,0.9166666666666666,1.0,1.0
20260705T1512Z_first_round_signed_lkj_rank2_3w,overall,12,0.0286449205028795,0.0248884267109414,-0.013811411980182,0.0166282231744184,0.0028168111942364,0.0331015988294972,0.016331857126925,0.0497900560706966,-1.9546851179424536,0.2489407052197129,0.5060180843592639,0.75,1.0,1.0
20260705T1513Z_first_round_signed_lkj_noise_floor_rank2_3w,overall,12,0.029233467492106,0.0247013237627877,-0.0132460278528351,0.0166282231744184,0.0033821953215833,0.0331015988294972,0.0125233781935849,0.0495779336994618,-1.955936862335493,0.232860759813476,0.513780329840402,0.75,1.0,1.0
