feature_set,asset_id,n,rmse,mae,bias,mean_y_true,mean_y_pred,std_y_true,std_y_pred,mean_pred_std,mean_gaussian_nll,standardized_residual_mean,standardized_residual_std,coverage_50,coverage_80,coverage_95
compact_pruned,IWM,6,0.0704007225447594,0.0477132609487703,-0.0292420721548499,0.0233522853567676,-0.0058897867980822,0.0568575374932057,0.0219629226134683,0.0611757585506599,-0.8634064709594079,0.5951270138193024,1.4221210277722347,0.6666666666666666,0.8333333333333334,0.8333333333333334
compact_pruned,MGK,6,0.0673665683529627,0.0495988202944031,-0.0242041303842108,0.0136416920465316,-0.0105624383376792,0.0799720313975521,0.0237671953075578,0.054154636331143,-0.7416093067427973,0.5831338727499694,1.6238806616288783,0.5,0.8333333333333334,0.8333333333333334
compact_pruned,SPY,6,0.0513831267747502,0.0335717806957426,-0.0157780081268763,0.0120510154200028,-0.0037269927068734,0.0546863721011041,0.0139664341452947,0.0390929197508135,-1.0469174691822731,0.4899586752049402,1.6761854510855478,0.6666666666666666,0.8333333333333334,0.8333333333333334
compact_pruned,VTV,6,0.0427069143330234,0.0367469141854543,-0.0092291240941636,0.0139037456579729,0.0046746215638093,0.0363670717478813,0.011900506237617,0.0423927135238402,-1.6454633442588111,0.325316247152754,1.15619490866372,0.5,0.6666666666666666,0.8333333333333334
liquidity_plus_volatility,IWM,6,0.0554036694455988,0.0411166828805703,-0.0201818040279913,0.0233522853567676,0.0031704813287762,0.0568575374932057,0.0119701781874492,0.0556831334456331,-1.4259010030016528,0.3797026466998576,1.0654319757471329,0.6666666666666666,0.8333333333333334,0.8333333333333334
liquidity_plus_volatility,MGK,6,0.0738604322378422,0.0672067194049058,-0.0003200242434264,0.0136416920465316,0.0133216678031051,0.0799720313975521,0.007872931585106,0.0535812551942109,-1.0142647012111696,-0.0043432289100556,1.5460004814670052,0.1666666666666666,0.6666666666666666,0.8333333333333334
liquidity_plus_volatility,SPY,6,0.0468426382745038,0.0364911434943343,-0.0064503850320694,0.0120510154200028,0.0056006303879333,0.0546863721011041,0.0083012820375712,0.0370945720077812,-1.5794489702216563,0.1461160436915107,1.3759478384557131,0.3333333333333333,0.6666666666666666,0.8333333333333334
liquidity_plus_volatility,VTV,6,0.034531774964504,0.0287332615176085,-0.0084451141651556,0.0139037456579729,0.0054586314928173,0.0363670717478813,0.0054626430427236,0.0343855900807483,-1.954302137618339,0.2354207904786434,1.062407869167181,0.3333333333333333,0.8333333333333334,1.0
liquidity,IWM,6,0.0620413626645553,0.0461088386060515,-0.0104086737151272,0.0233522853567676,0.0129436116416404,0.0568575374932057,0.0127147117512655,0.0500673978896379,-1.223657397431664,0.1698830672577685,1.4228210899852056,0.6666666666666666,0.6666666666666666,0.6666666666666666
liquidity,MGK,6,0.0753926090325679,0.0665063566892966,-0.0006042678448538,0.0136416920465316,0.0130374242016777,0.0799720313975521,0.0055279840096806,0.0527727865850929,-0.9378370625279812,0.0621202184675931,1.6155442251379837,0.1666666666666666,0.6666666666666666,0.8333333333333334
liquidity,SPY,6,0.0524307128865585,0.0432762635451366,-0.0008106138309336,0.0120510154200028,0.0112404015890691,0.0546863721011041,0.0040549899652193,0.036093143324942,-1.2822563037879513,-0.0436445161281365,1.645140321163009,0.5,0.6666666666666666,0.6666666666666666
liquidity,VTV,6,0.0396479659501462,0.0334213592798357,-0.0035424563396988,0.0139037456579729,0.0103612893182741,0.0363670717478813,0.0070198920644728,0.0337481682095451,-1.5195192791512124,-0.0168407363720091,1.5162748318696642,0.3333333333333333,0.8333333333333334,0.8333333333333334
macro_risk,IWM,6,0.0695112302662143,0.0458014808668544,-0.0296222234552938,0.0233522853567676,-0.0062699380985261,0.0568575374932057,0.0215785102885023,0.0544544423553233,-0.9505534263823692,0.6082938605426373,1.4377413434819188,0.6666666666666666,0.8333333333333334,0.8333333333333334
macro_risk,MGK,6,0.0727654996224932,0.0535637120080509,-0.0263281478925489,0.0136416920465316,-0.0126864558460173,0.0799720313975521,0.0226231248928391,0.0506143524974128,-0.5507231444678186,0.6529887736267527,1.7765152063781295,0.5,0.8333333333333334,0.8333333333333334
macro_risk,SPY,6,0.0520252615387672,0.0347413652897012,-0.0177046097749204,0.0120510154200028,-0.0056535943549175,0.0546863721011041,0.0131132950095121,0.0374705900514812,-1.1337563829583202,0.5321708089681061,1.6230029186760304,0.6666666666666666,0.8333333333333334,0.8333333333333334
macro_risk,VTV,6,0.037728116906316,0.0336353387067016,-0.0099859342629487,0.0139037456579729,0.0039178113950241,0.0363670717478813,0.0063335704335662,0.0386620067476235,-1.8047578037730985,0.253774758112731,1.0954526990702005,0.3333333333333333,0.6666666666666666,1.0
momentum_plus_macro,IWM,6,0.072527854771221,0.0485221455076825,-0.0271925532482322,0.0233522853567676,-0.0038402678914645,0.0568575374932057,0.0265185762261725,0.0603377600726746,-1.074196827090651,0.4386094913870293,1.3206027745002231,0.6666666666666666,0.8333333333333334,0.8333333333333334
momentum_plus_macro,MGK,6,0.0671078706485944,0.0489698082689116,-0.0219984110616073,0.0136416920465316,-0.0083567190150757,0.0799720313975521,0.0261774455628311,0.0511796901946508,-1.053397993644835,0.4488072433171017,1.4747649510320044,0.5,0.8333333333333334,0.8333333333333334
momentum_plus_macro,SPY,6,0.0500889999157779,0.0327018231892758,-0.0142636660587737,0.0120510154200028,-0.0022126506387708,0.0546863721011041,0.0147870793579766,0.0386953127477337,-1.3524002778366937,0.36965389402399,1.489014453617975,0.6666666666666666,0.8333333333333334,0.8333333333333334
momentum_plus_macro,VTV,6,0.0459209358725457,0.0390965758039813,-0.0095967198258245,0.0139037456579729,0.0043070258321484,0.0363670717478813,0.0156478593510886,0.0413881414221324,-1.54277097692513,0.2073857923374132,1.3059460094038509,0.5,0.6666666666666666,0.8333333333333334
