variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
positive_beta_prior,2025-05-30,0.41065714383603624,0.9923558778359719,0.7375934244822043,0.0,0.757619050644981,0.9626211291131754,0.823174853260991,0.7200728170156809
positive_beta_prior,2025-06-30,0.42154885437530354,0.9932521816592765,0.7308946022786076,0.0,0.7505161636832448,0.9624789012251902,0.8362482129721491,0.7093261465460716
positive_beta_prior,2025-07-31,0.4129955260645541,0.9945300449179877,0.7318061316369687,0.0,0.7516009357301011,0.9622994794877121,0.8293848387199275,0.7118293884546306
positive_beta_prior,2025-08-29,0.4110073650453915,0.9932124601973794,0.7355610767836694,0.0,0.7549958739298016,0.9596495216287254,0.8269490728697715,0.7168517232542312
positive_beta_prior,2025-09-30,0.4140378660557765,0.9924475420546012,0.737588024651522,0.0,0.7566657206064642,0.9621956100169959,0.8306172727315323,0.7185426667768738
positive_beta_prior,2025-10-31,0.5383263864791831,0.9928881211381375,0.7687671319909767,0.0,0.7846063572995632,0.958267150712678,0.8548317166746329,0.7511476107171572
positive_beta_prior,2025-11-28,0.4819234530896137,0.9932813564682548,0.7476447730805174,0.0,0.7655890336192995,0.9584426332745044,0.8428310746381971,0.7281578137065042
positive_beta_prior,2025-12-31,0.42306174471817015,0.9914379009964285,0.7264852238959397,0.0,0.746676793855328,0.9610767775714856,0.8219245405788256,0.706946466149837
positive_beta_prior,2026-01-30,0.4246954072597761,0.9916346237137803,0.7364998227006139,0.0,0.7558573688968118,0.960163069341792,0.8278812212256076,0.7177918198529775
positive_beta_prior,2026-02-27,0.4501966464486757,0.9933773015591587,0.7408686723687715,0.0,0.7588786933198124,0.9409618577759873,0.8426327029489878,0.7200350913051051
positive_beta_prior,2026-03-31,0.38340426824475315,0.99212847155144,0.7256603059331823,0.0,0.7452273567092171,0.9659287253818102,0.8231361157538478,0.7057046283321011
positive_beta_prior,2026-04-30,0.3472582530193395,0.9935876621524387,0.7281472028543442,0.0,0.7487414826882827,0.9731190751805808,0.861242085410841,0.7008994316223055
