variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.030193699824594168,0.02604868365746608,-2.1281506082722523,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.01020968743460663,0.007951995143860689,-2.417674659201124,1.0,1.0
positive_beta_prior,2025-07-31,0.04593634726550776,0.038723888186287546,-1.8336537182113046,0.5,1.0
positive_beta_prior,2025-08-29,0.01528573500456283,0.010470178235638138,-2.4037225473415513,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.014519532100519811,0.011579949547125525,-2.3903291412396435,1.0,1.0
positive_beta_prior,2025-10-31,0.016421664067203124,0.011815160684049407,-2.42626763434732,0.9444444444444444,1.0
positive_beta_prior,2025-11-28,0.017300264455943026,0.01363507803506922,-2.4969321824841217,1.0,1.0
positive_beta_prior,2025-12-31,0.02680393357622962,0.020580972422632945,-2.413262189107422,0.7777777777777778,1.0
positive_beta_prior,2026-01-30,0.029845671281991785,0.023654039584398066,-2.2051767766195547,0.8333333333333334,1.0
positive_beta_prior,2026-02-27,0.05767307343183348,0.0494518510365283,-1.4261217263436885,0.3333333333333333,0.8333333333333334
positive_beta_prior,2026-03-31,0.06462845580599558,0.051799748738182556,-1.4661395920954199,0.3888888888888889,0.8333333333333334
positive_beta_prior,2026-04-30,0.026728718014414166,0.019287505531864937,-2.2735911200273957,0.9444444444444444,1.0
