variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.033428781446146874,0.02889813597477584,-2.1190462201677867,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.010137803580102049,0.007647390027533069,-2.5054781968624376,1.0,1.0
positive_beta_prior,2025-07-31,0.03500478912983347,0.02790006751794968,-2.1589032574529936,0.6666666666666666,1.0
positive_beta_prior,2025-08-29,0.018944334652213835,0.014478800245976031,-2.396073207481811,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.01358018044020188,0.010902501998128748,-2.531829899056707,1.0,1.0
positive_beta_prior,2025-10-31,0.013360543061744981,0.009892898989938026,-2.4910305014255423,1.0,1.0
positive_beta_prior,2025-11-28,0.013055532756823064,0.010294882890011884,-2.5427094086188733,1.0,1.0
positive_beta_prior,2025-12-31,0.03033497036777417,0.02300925053975262,-2.3537465814038585,0.6666666666666666,1.0
positive_beta_prior,2026-01-30,0.02940806048281636,0.024023937397248438,-2.223572918169653,0.4444444444444444,1.0
positive_beta_prior,2026-02-27,0.06422214933917274,0.055803752422111635,-0.8487213682032982,0.1111111111111111,0.7222222222222222
positive_beta_prior,2026-03-31,0.06954719841945717,0.055111312630999866,-0.9736224382526001,0.3333333333333333,0.6111111111111112
positive_beta_prior,2026-04-30,0.02525552582298748,0.016795109732627496,-2.386961603763023,0.9444444444444444,1.0
