variant,n_windows,R2_pooled,R2_avg,IC,IC_p_value,IR,HitRatio,rmse,mae,nlpd,cover_1sd,cover_2sd,top_bottom_5_cum_return,top_bottom_5_ann_return,top_bottom_5_ann_vol,top_bottom_5_sharpe,top_bottom_5_max_drawdown,top_bottom_5_mean_monthly,top_bottom_5_hit_rate,resid_R2_pooled,resid_R2_avg,resid_IC,resid_IC_p_value,resid_IR,resid_HitRatio,resid_rmse,resid_mae,resid_nlpd,resid_cover_1sd,resid_cover_2sd,resid_top_bottom_5_cum_return,resid_top_bottom_5_ann_return,resid_top_bottom_5_ann_vol,resid_top_bottom_5_sharpe,resid_top_bottom_5_max_drawdown,resid_top_bottom_5_mean_monthly,resid_top_bottom_5_hit_rate
positive_beta_prior__component_scales_lengthscale_only,12.0,-0.06408547675585541,-0.04454972355324698,0.3751289989680083,0.0013558701302752252,1.2281163622867997,0.6064814814814815,0.03365542615990008,0.023257011040823065,-2.1550437078767084,0.8101851851851852,0.9675925925925926,0.280166967678805,0.2856164512330286,0.09578715552410136,2.9817823660205005,-0.0041227921569684895,0.021157234339643505,0.8333333333333334,-0.04358037524016467,-0.020454158732819663,0.1897144822841417,0.07867139691510278,0.5595331230689359,0.625,0.03365542615990008,0.023257011040823065,-2.1550437078767084,0.8101851851851852,0.9675925925925926,0.17568519281886452,0.1799832576350382,0.0875884657511196,2.0548739619033407,-0.0092702980821457,0.01388723154893814,0.5833333333333334
positive_beta_prior__component_scales_neither,12.0,-0.09508628920641815,-0.08168388112321608,0.31647746818025463,0.02886727115837857,0.7252435012241097,0.601851851851852,0.03414216108499856,0.023788366141308873,-2.156097572756462,0.7962962962962963,0.9722222222222222,0.21260853715355577,0.21935615590456048,0.10787954785450743,2.033343300626332,-0.028164472837840692,0.016664239798498043,0.75,-0.07398379695450008,-0.05661597567691772,0.15531475748194015,0.25083395013079723,0.34992869331502324,0.6203703703703705,0.03414216108499856,0.023788366141308873,-2.156097572756462,0.7962962962962963,0.9722222222222222,0.10530885125923573,0.10908000368419857,0.08343976297797508,1.3072904307385382,-0.03416626095945981,0.008664895262287241,0.5833333333333334
positive_beta_prior__no_component_scales_lengthscale_only,12.0,-0.15723816001739244,-0.12462463972821834,0.12435500515995873,0.28975990549040154,0.3210704615346271,0.5601851851851852,0.035097663782756014,0.024344136656678804,-2.1049297958961835,0.7916666666666666,0.9861111111111112,0.07106420985005824,0.07482932528236597,0.0842021404883479,0.8886867346646732,-0.0389701481556132,0.006031607479444179,0.6666666666666666,-0.1349379910297157,-0.09881784387247591,-0.014103887168902651,0.8954754814609664,-0.0388122808977981,0.611111111111111,0.03509766378275601,0.024344136656678804,-2.1049297958961835,0.7916666666666666,0.9861111111111112,0.017304965353437618,0.020220845330263026,0.07582807373554298,0.26666700516203257,-0.0405151518095773,0.0016696522271900237,0.5
positive_beta_prior__no_component_scales_neither,12.0,-0.18155691467000068,-0.16487923844827324,0.14103887168902648,0.29836070282128424,0.31510441737886014,0.5648148148148148,0.035464525972549656,0.024039675810649985,-2.0972972109698476,0.8148148148148148,0.9722222222222222,0.10186423527586763,0.1061758149132308,0.08847315060955055,1.200090809264899,-0.04722384352011734,0.008444526813301819,0.75,-0.1587881192948961,-0.13814156172938893,-0.007051943584451316,0.9577300663215059,-0.01565272071286451,0.5324074074074073,0.035464525972549656,0.024039675810649985,-2.097297210969847,0.8148148148148148,0.9722222222222222,-0.005825267286108438,-0.0023362571060944193,0.08367098046303328,-0.027921952069470516,-0.07646422129135612,-0.00019489687286101056,0.5
positive_beta_prior__global_scale_lengthscale_only,12.0,-0.22934942501633704,-0.214605781043239,0.1150670794633643,0.2823035587661975,0.3263536910969088,0.48148148148148145,0.03617466412844986,0.024955043957339915,-2.0516420803923348,0.8379629629629629,0.9675925925925926,0.08870559291981284,0.09203608090819704,0.0785005645721328,1.1724257196090189,-0.05557364020827566,0.007363974840542533,0.6666666666666666,-0.2056596601347891,-0.18656625100397728,-0.304781561747506,0.00616291043752952,-0.9751824944420535,0.3657407407407407,0.03617466412844986,0.024955043957339915,-2.0516420803923348,0.8379629629629629,0.9675925925925926,-0.1982077886865814,-0.19541617318879423,0.08081668673114926,-2.418017628449432,-0.18652985674693467,-0.01795601139208362,0.16666666666666666
positive_beta_prior__global_scale_neither,12.0,-0.3352243346394599,-0.36512532617917903,0.1350189198486412,0.4118403673853919,0.24624407398598747,0.5231481481481481,0.037700226176863395,0.024544869555191015,-2.0190465603533494,0.8564814814814815,0.9537037037037037,0.039309898997218706,0.04655829926523114,0.11719947422186655,0.3972568953431747,-0.11568514256049976,0.0037994471818659048,0.5833333333333334,-0.3094943428990642,-0.33354305369190196,-0.0194358445132439,0.9058740277707673,-0.034929312072889594,0.4907407407407407,0.037700226176863395,0.024544869555191015,-2.0190465603533494,0.8564814814814815,0.9537037037037037,-0.04021217463741833,-0.032669134080491546,0.1237416257329917,-0.26401086850907096,-0.12572697111374628,-0.002764063335398381,0.5
