SPY,MGK,VTV,IWM
-0.05763062763598101,-0.024391593433233695,-0.07517267109904015,-0.09228328298607011
-0.0041931024365039725,0.03288003479647707,-0.022175672816963126,-0.05065695231929618
0.05784416922627278,0.08504037423525074,0.004414660389936612,0.016815756459345715
0.009346397109536105,0.05409558797049232,0.0023592203519702606,-0.04200794154587059
0.007464437545150294,0.06892027201835649,0.010010664579606674,-0.012568996649342513
0.004251324784768345,-0.016960777211428166,0.026966646333227328,-0.0324222831831287
-0.026648320694374554,-0.02191337715025871,-0.026585355833721097,-0.05943964290127858
0.06265467376806594,0.06632532077449271,0.045807510469842064,0.06123399470783981
0.03872154011526638,0.061525752412520736,-0.002590844158581211,0.009353744046968607
0.008325666245978379,0.016830126052939046,-0.006006230434076356,-0.013002190680826618
-0.006830215544520701,0.025176873295246704,-0.026681794412460436,-0.059522844738988875
-0.015040793421726937,0.000579831830889721,-0.006557970549432458,-0.019516474699338215
-0.02953074349985109,-0.018817067182546388,-0.07211056745063883,-0.09941378157564662
0.010216051887922895,0.016231637186597075,0.011342666019577358,-0.036504757555416066
0.005485563545729686,0.01901280956295455,0.0071916588001440206,-0.023625318599911366
-0.003452217443900847,0.03477056000079454,-0.06069914361187201,-0.10881113449466834
-0.036784112135340524,-0.015517750863657889,-0.019773706963278403,-0.08399783989846832
0.059140302075208026,0.03526129770912526,0.06575817470844117,0.0601990188017796
-0.034669799286109804,-0.02511185123308368,-0.0033900750523290397,-0.05067169464221454
-0.02557346851253764,-0.024603712445041385,-0.02436440044297949,-0.05506135442694615
-0.06102832443120332,-0.06493146030327149,-0.07395609150331164,-0.11748416728472477
0.003990231340535534,0.006894328770172889,0.016566870899026667,-0.0009240867666660338
0.04052306971349777,0.010215487160397163,0.055693436944050975,0.07435503039318431
-0.008531023636418479,-0.04358171894263709,-0.022253540011465532,-0.03367726103694728
-0.03531956683591478,-0.0393497110406283,-0.029479444582600628,-0.06894361502627747
-0.010915846377391363,0.022583309034924483,-0.02149141552245472,-0.009888381655945688
0.02860256501780951,0.0033621832781761847,-0.0384939497310395,-0.024090828391729182
-0.03747035743831159,-0.028816694999355352,-0.03223768429297248,-0.10043705299692596
-0.05478910338807658,-0.017891136094935887,-0.04587753536563878,-0.1441075076063118
-0.07750186745148815,-0.032986711675985055,-0.07907124508793455,-0.10551147038012504
0.009563289573358252,0.0007314425374822485,0.004386837255519579,-0.01853974681042207
-0.03708359567409683,-0.021456679609761886,-0.03337972956304367,-0.08172760437215548
0.010906136080223127,0.006858401530112343,-0.0024658494602951015,-0.005145014582750962
-0.020052146464725945,-0.02664079436559633,-0.02093311208872091,-0.0749405853613186
-0.0352862382011509,0.04422192468570743,-0.06220574516290023,-0.09788736565622612
0.03721948926223943,0.05172449689687213,0.037370726279942756,-0.03894169280874305
-0.040487425240354404,-0.04289936951820233,-0.01906844967690443,-0.06156037534309289
-0.01974896623692951,-0.0021100130307949985,-0.03289678495762202,-0.0750716683932967
-0.008755873050705663,0.020541213029057613,-0.050761630214154155,-0.0659224290684294
-0.003738667652544809,0.015070717438827853,-0.02467231767987529,-0.052513573873135454
0.021961922216772078,0.029390840077265813,0.00080392807928506,0.05019067090213133
-0.10379257115796915,-0.09561993443967048,-0.09263321620108673,-0.1600096028709315
-0.05516930188588344,-0.015361314377191649,-0.04769072054144605,-0.11302954048476557
-0.011435208195597107,-0.015434412107610724,-0.005990842557665613,-0.02714093747568991
0.028320761258020005,0.008787969296718094,0.012597172683228883,0.025083895928548892
-0.01257354361467541,-0.04045033869259786,-0.026480295535813873,-0.026564167172016078
0.005299759159680725,0.004288117061833898,0.0009577522632142586,-0.005314830098032949
0.030743282297883073,0.027527360411604952,0.048194455952237966,0.020243657663100566
-0.03324136897467876,0.01675421626035331,-0.049100585428707544,-0.07942226725506832
-0.02744274655549124,-0.06952082676833563,-0.01832226581311226,-0.016392018241442357
-0.056205055209694016,-0.043965643625883365,-0.0581076495670889,-0.11259176046605443
0.01738450303500427,0.008889478877855617,0.024763186414714335,-0.0272273068131497
-0.0578265044308425,-0.04487317930063466,-0.05137433148971786,-0.12244918004763072
-0.0049740130243022766,-0.020224606494486336,-0.003204883437985506,-0.0767732527309792
0.04869168148619306,0.043282496700387287,0.039510275021295754,0.06362453882989347
0.010353916266977316,0.03333629370509482,0.021459861914109032,0.000432104911118239
-0.005063343910478028,-9.781993882698216e-05,0.037269417192783594,-0.0034046977163951914
-0.05869896420862457,-0.021199587793994473,-0.014593258923843212,-0.08215307053382936
0.06767265021453492,0.06412352910102023,0.06849758777083709,0.05345507204527226
-0.0024531169322750054,-0.004650461761573457,-0.007116027832425858,-0.031066339365573355
-0.05094477141288094,0.0013378406583284819,-0.05392518709721926,-0.08730817186571793
-0.00743665499855091,0.03267591570343201,-0.000252058502341182,-0.06841227898869028
-0.022908955924036318,-0.03253528902589115,-0.05030949968339861,-0.06826572279045487
-0.02608840169433797,-0.05753437701289651,0.00479820271852659,-0.04156093197548586
-0.049090179613725735,-0.027801390869326533,-0.0673025597541984,-0.09272354251186773
-0.05200236893847479,-0.050397404010100524,-0.05292753814818012,-0.09493716452680753
-0.0020858459886894734,-0.03664474216409734,0.01264333897839565,0.017987308631496328
-0.06719029066090602,-0.08561449782585118,-0.10529352523227532,-0.15858185437867975
0.002568307676799799,-0.0032360314618686296,-0.014766586318351142,-0.013863297433869905
-0.008920231720884223,-0.06380890024818228,0.004540145526088519,-0.007400577292190805
-0.024507492784934526,-0.021132938575303684,-0.05723456933004953,-0.09797390496178537
0.03532109356629973,0.011175307064512842,0.038577460863789284,0.028128094935227978
-0.03989032137366667,-0.06447867060841336,-0.0050757704563901655,-0.05106518886924051
-0.004158820884087566,-0.010983602830346734,-0.0057780164766680926,0.010023943793599839
-0.024261468629039912,-0.0059214807826989315,-0.05050139534779367,-0.09494692036559724
