date,component_outputscale_floor,control,lengthscale_floor_0.02,scenario_mean_scale_1.5,signed_lkj_eta_2,turnover_blend_0.5
2025-05-30,0.0304664241158226,0.0345869822454853,0.0341164166614205,0.0345629093622065,0.0368183141843053,0.0345869822454853
2025-06-30,0.0021504155752694,0.0025316370667819,0.0032965611894507,0.0024927451233431,-0.0015899876147727,0.0025351980034582
2025-07-31,0.0284879991371254,0.0319395971644139,0.031799282214943,0.0319870894976769,0.0233013867026177,0.0319397081899578
2025-08-29,0.0130836399944827,0.0156737754368552,0.0160225601904962,0.0157150363776484,0.0202250627203309,0.0160082911893476
2025-09-30,0.0011794136354964,0.0027003043460424,0.0028944214050184,0.0026873482053329,0.0032551134836718,0.0020932225549778
2025-10-31,0.0041873476494283,0.0059303625266683,0.0061955125132878,0.0059466341985549,0.0054841728542898,0.0064127398679596
2025-11-28,-0.0020014388880734,-0.0009721246791058,-0.0008900606638349,-0.0008051956656084,-0.0010320886778933,-0.0005061236864425
2025-12-31,0.028979209578235,0.0333427751738547,0.0339794959538102,0.0334383636885592,0.0355962054252174,0.0320218545766917
2026-01-30,0.0226147767756023,0.0226814654933005,0.0223090076771919,0.0226255980777938,0.0208369984180946,0.0209899974446362
2026-02-27,-0.0580203407653512,-0.0556479881950504,-0.056120576052448,-0.0555022922629184,-0.0473418281071865,-0.0544507807377351
2026-03-31,0.0601563450334713,0.0668897019252752,0.0654097309556202,0.0671947880410276,0.072636803918993,0.0661243408297105
2026-04-30,0.0191480182245718,0.0200951526576619,0.0202006465591361,0.0201294288823974,0.0197775213684398,0.0213219370220986
