experiment,months_beating_control,months_lagging_control,avg_monthly_spread,feb_2026_return,feb_2026_spread_vs_control,best_month_spread,worst_month_spread
signed_lkj_eta_2,6,6,0.0006846694594937261,-0.0473418281071865,0.008306160087863904,0.008306160087863904,-0.008638210461796199
scenario_mean_scale_1.5,8,4,6.006769698590103e-05,-0.0555022922629184,0.00014569593213200477,0.00030508611575240374,-5.58674155066996e-05
lengthscale_floor_0.02,7,5,-4.488687984091696e-05,-0.056120576052448,-0.00047258785739760084,0.0007649241226687998,-0.0014799709696550062
turnover_blend_0.5,7,4,-5.6189471836450086e-05,-0.0544507807377351,0.0011972074573153024,0.0012267843644367012,-0.0016914680486642998
component_outputscale_floor,0,12,-0.002443319258008541,-0.0580203407653512,-0.002372352570300801,-6.668871769819826e-05,-0.0067333568918038975
