experiment,run_id,terminal_value,cagr,sharpe,max_drawdown,annualized_vol,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic,delta_terminal_value,delta_cagr,delta_sharpe,delta_max_drawdown,delta_avg_turnover,delta_mean_ic
signed_lkj_eta_2,20260616_signed_lkj_eta_2_portfolio,11997.517047586402,0.1997517047586401,2.1035452847332525,-0.0473418281071865,0.0949595457765342,0.0156639728896756,0.75,0.3442260217862449,0.1856466491159265,0.2723039215686274,0.3647058823529412,99.64779835347326,0.009964779835347298,0.1481488016857322,0.008306160087863904,0.1154490782464439,-0.09852941176470587
scenario_mean_scale_1.5,20260616_scenario_mean_scale_15_portfolio,11906.278910973033,0.1906278910973031,1.9629565247173628,-0.0555022922629183,0.0971126403957167,0.0150393711271678,0.8333333333333334,0.229543195442616,0.1890288421837269,0.3708333333333333,0.3941176470588236,8.409661740104639,0.0008409661740103047,0.007560041669842477,0.0001456959321321019,0.0007662519028150128,0.0
control,20260616_gp_scenario_portfolio,11897.869249232928,0.1897869249232928,1.9553964830475203,-0.0556479881950504,0.0970580271411282,0.0149793034301819,0.8333333333333334,0.228776943539801,0.1892186192590323,0.3708333333333333,0.3941176470588236,0.0,0.0,0.0,0.0,0.0,0.0
lengthscale_floor_0.02,20260616_lengthscale_floor_002_portfolio,11892.16939094285,0.189216939094285,1.9618622628783389,-0.056120576052448,0.0964476164685874,0.014934416550341,0.8333333333333334,0.244278605076693,0.199999998571387,0.3884803921568627,0.4147058823529411,-5.699858290077827,-0.0005699858290078019,0.00646577983081853,-0.00047258785739760084,0.015501661536892003,0.017647058823529405
turnover_blend_0.5,20260616_turnover_blend_50_portfolio,11891.801306808184,0.1891801306808185,1.982015883880577,-0.0544507807377351,0.0954483423767643,0.0149231139583454,0.8333333333333334,0.153570155126713,0.1883884260509492,0.3708333333333333,0.3941176470588236,-6.067942424744615,-0.0006067942424743122,0.026619400833056694,0.0011972074573153024,-0.075206788413088,0.0
component_outputscale_floor,20260616_component_outputscale_floor_portfolio,11562.060261208071,0.1562060261208071,1.6693680603397554,-0.0580203407653512,0.0935719508668541,0.0125359841721734,0.8333333333333334,0.2134709971160972,0.1893281288988881,0.1441176470588235,0.1720588235294117,-335.8089880248572,-0.03358089880248569,-0.28602842270776496,-0.002372352570300801,-0.015305946423703781,-0.2267156862745098
