experiment_label,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
component_outputscale_floor,0.739000154886886,0.0,0.7574132542197343,0.9517968129212968,0.8349114381175013,0.71936477406802
lengthscale_floor_0.02,0.7396339314984509,0.0,0.758437546258426,0.9592962204734575,0.8364691024203387,0.719809408317592
scenario_mean_scale_1.5,0.7411478239505374,0.0,0.7598676247370474,0.9589503577715114,0.8361547718180603,0.7216975826548241
signed_lkj_eta_2,0.16487440321837257,0.0016339869281045752,0.22370195613343336,0.4932867608290136,0.22451864414110212,0.15266377121844368
turnover_blend_0.5,0.7411478239505374,0.0,0.7598676247370474,0.9589503577715114,0.8361547718180603,0.7216975826548241
