date,component_outputscale_floor,control,lengthscale_floor_0.02,scenario_mean_scale_1.5,signed_lkj_eta_2,turnover_blend_0.5
2025-05-30,-0.004120558129662701,0.0,-0.00047056558406480264,-2.4072883278804247e-05,0.002231331938819997,0.0
2025-06-30,-0.00038122149151250014,0.0,0.0007649241226687998,-3.889194343880027e-05,-0.0041216246815546,3.5609366762999993e-06
2025-07-31,-0.003451598027288498,0.0,-0.00014031494947090023,4.749233326300367e-05,-0.008638210461796199,1.1102554389741393e-07
2025-08-29,-0.0025901354423724984,0.0,0.0003487847536410016,4.1260940793201584e-05,0.004551287283475702,0.00033451575249240223
2025-09-30,-0.0015208907105460003,0.0,0.00019411705897600003,-1.2956140709500207e-05,0.0005548091376293999,-0.0006070817910646003
2025-10-31,-0.0017430148772399996,0.0,0.00026514998661949975,1.627167188660017e-05,-0.0004461896723784997,0.0004823773412912999
2025-11-28,-0.0010293142089675999,0.0,8.206401527089996e-05,0.00016692901349740004,-5.996399878750009e-05,0.0004660009926633
2025-12-31,-0.004363565595619699,0.0,0.0006367207799555033,9.558851470450186e-05,0.002253430251362702,-0.0013209205971630028
2026-01-30,-6.668871769819826e-05,0.0,-0.0003724578161086005,-5.58674155066996e-05,-0.0018444670752058995,-0.0016914680486642998
2026-02-27,-0.002372352570300801,0.0,-0.00047258785739760084,0.00014569593213200477,0.008306160087863904,0.0011972074573153024
2026-03-31,-0.0067333568918038975,0.0,-0.0014799709696550062,0.00030508611575240374,0.005747101993717807,-0.0007653610955647011
2026-04-30,-0.0009471344330900973,0.0,0.00010549390147420248,3.427622473550079e-05,-0.0003176312892220999,0.0012267843644367012
