variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group,experiment_label
signed_lkj_eta_2,2025-05-30,0.0231948715556391,0.6160318364182761,0.1566178901875145,0.0,0.2167712097756744,0.4817098538760491,0.2096079122892873,0.1457695392060492,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,0.0197295275836348,0.6158219682186937,0.1585142310611189,0.0,0.2182693313680316,0.4851470890378068,0.215079658835247,0.1469339072648407,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,0.0342517760315072,0.6511806946400369,0.1603695070449914,0.0,0.220551225043753,0.485600813993377,0.215719388783493,0.1490380351930147,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,-0.0028049345439583,0.6381450661846546,0.1612976421770627,0.0065359477124183,0.220658291799054,0.4919668702101812,0.2195242135056724,0.1493772417475835,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,0.0308818980016752,0.6342158588673248,0.1629214642406895,0.0,0.2227386312236504,0.4928892008517403,0.2211132000279303,0.151008195496845,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,0.001947380820057,0.605897862500883,0.1631916003380955,0.0,0.2210497899970568,0.4839332429121848,0.2190798563655853,0.1517499101277432,signed_lkj_eta_2
signed_lkj_eta_2,2025-11-28,-0.0054069091819783,0.6204898700151172,0.1661940966987361,0.0065359477124183,0.224493469023066,0.495810777712632,0.2252287217133877,0.1541082679555791,signed_lkj_eta_2
signed_lkj_eta_2,2025-12-31,0.0300217152853721,0.6070666369479483,0.1673051070934663,0.0,0.225549077586389,0.4988610732425974,0.2275843675890512,0.1549644710864962,signed_lkj_eta_2
signed_lkj_eta_2,2026-01-30,0.0146525386989528,0.6187542346259503,0.1686554746095827,0.0,0.2268617427370366,0.4996255083077633,0.229649571058662,0.1561684942341806,signed_lkj_eta_2
signed_lkj_eta_2,2026-02-27,0.0119838215178196,0.609907676993542,0.1681821906876974,0.0,0.2260209861690167,0.4961232973984193,0.232488013159936,0.1550172191579477,signed_lkj_eta_2
signed_lkj_eta_2,2026-03-31,-0.005716625905386,0.6233731764181144,0.1715446154537427,0.0065359477124183,0.2296270519433375,0.5000870396409742,0.2358612419557045,0.1583774320753884,signed_lkj_eta_2
signed_lkj_eta_2,2026-04-30,0.0263709825436086,0.6352074985368577,0.1736990190277733,0.0,0.2318326669351345,0.5076863627644377,0.2432875844092687,0.1594525410756561,signed_lkj_eta_2
lengthscale_floor,2025-05-30,0.398285141174699,0.9928515635631892,0.7255507304732808,0.0,0.746260087850281,0.9666248919975672,0.8244661882339923,0.7053003217978595,lengthscale_floor_0.02
lengthscale_floor,2025-06-30,0.436137774770553,0.9911949323113616,0.7403383971829627,0.0,0.7589534736489579,0.9604111570011924,0.8402334053715153,0.7198874506246764,lengthscale_floor_0.02
lengthscale_floor,2025-07-31,0.4598450154986533,0.9932043016918062,0.7397039927761624,0.0,0.7584696635242577,0.958130357723521,0.8367612615749602,0.7198340007386133,lengthscale_floor_0.02
lengthscale_floor,2025-08-29,0.4436470267727384,0.9923493279474196,0.7401493951087236,0.0,0.7587800034150404,0.9576089406807968,0.8354251660442145,0.7206441191691745,lengthscale_floor_0.02
lengthscale_floor,2025-09-30,0.4459506940843297,0.992072780972563,0.7446869039757107,0.0,0.76305353815178,0.9627619799145056,0.8362757476356758,0.7259364320453241,lengthscale_floor_0.02
lengthscale_floor,2025-10-31,0.5088493778583988,0.9932261085530028,0.7579456352413274,0.0,0.7745000377907592,0.953331130631675,0.849318153624731,0.7392394503754339,lengthscale_floor_0.02
lengthscale_floor,2025-11-28,0.4936433884551958,0.9908504095798706,0.7545644378275008,0.0,0.7717804674646332,0.9558015258386956,0.8445052037790869,0.7361513676326881,lengthscale_floor_0.02
lengthscale_floor,2025-12-31,0.4552587948647913,0.9905466229955688,0.7372959880959467,0.0,0.7563543976851157,0.9588349698112856,0.8298304503200853,0.7183519249634455,lengthscale_floor_0.02
lengthscale_floor,2026-01-30,0.4232865171300597,0.9918300707451636,0.7375567978034476,0.0,0.75668857556197,0.9586076791718576,0.8253313380347425,0.7195872068899541,lengthscale_floor_0.02
lengthscale_floor,2026-02-27,0.4922913089765505,0.9930746721555672,0.7409977826088132,0.0,0.7586891784165433,0.940629395503365,0.8396706108287326,0.7207970461228453,lengthscale_floor_0.02
lengthscale_floor,2026-03-31,0.3915049101289138,0.992946493967378,0.7224066539138295,0.0,0.7429269876697011,0.966323585356158,0.8176825655164875,0.7029013491762774,lengthscale_floor_0.02
lengthscale_floor,2026-04-30,0.3763259081329608,0.9938756330498671,0.7344104629737059,0.0,0.7547941439220722,0.9724890320508708,0.8581291380798407,0.7090822302748122,lengthscale_floor_0.02
component_outputscale_floor,2025-05-30,0.3861218255738279,0.9909649765305056,0.7238194589700894,0.0,0.7443371210566427,0.9570675050032568,0.8259846135680136,0.7029037580287822,component_outputscale_floor
