experiment_label,diagnostic,mean,min,max
component_outputscale_floor,lengthscale,5.578474569340565,0.0271027015602616,150.5065763157944
component_outputscale_floor,likelihood_noise,0.0070987672801042755,0.0065096253275969,0.0131803130757244
component_outputscale_floor,outputscale,0.04471862800564672,0.0106343443021166,0.3828411819573381
component_outputscale_floor,time_varying_effective_lengthscale_eval,5.719548981531808e-42,3.747232477573715e-160,6.86345877783817e-41
lengthscale_floor_0.02,lengthscale,0.6594353353662175,0.026137013503601,1.4104692044348277
lengthscale_floor_0.02,likelihood_noise,0.006563585366369175,0.0065235769689913,0.0066120291621163
lengthscale_floor_0.02,outputscale,0.10472500227838105,0.0005434813197672,0.9086827415135326
lengthscale_floor_0.02,time_varying_effective_lengthscale_eval,0.02,0.02,0.02
scenario_mean_scale_1.5,lengthscale,0.6628500797140384,0.0260334658251854,1.4176514284948334
scenario_mean_scale_1.5,likelihood_noise,0.0065644440539927825,0.0065231797380063,0.0066068087618669
scenario_mean_scale_1.5,outputscale,0.10407238922831942,0.0004608348588865,0.9137555147824292
scenario_mean_scale_1.5,time_varying_effective_lengthscale_eval,3.869443031594759e-26,1.5346167006862174e-81,4.643331625881581e-25
signed_lkj_eta_2,lengthscale,0.7684461153156235,0.281909590388499,1.3121419320922358
signed_lkj_eta_2,likelihood_noise,0.006522355270478433,0.0064598087655154,0.0065563638868917
signed_lkj_eta_2,outputscale,0.041266777484965565,5.069561106754084e-06,0.4013067732001444
signed_lkj_eta_2,time_varying_effective_lengthscale_eval,206.5627527294323,173.66009890434356,233.79130272624764
turnover_blend_0.5,lengthscale,0.6628500797140384,0.0260334658251854,1.4176514284948334
turnover_blend_0.5,likelihood_noise,0.0065644440539927825,0.0065231797380063,0.0066068087618669
turnover_blend_0.5,outputscale,0.10407238922831942,0.0004608348588865,0.9137555147824292
turnover_blend_0.5,time_varying_effective_lengthscale_eval,3.869443031594759e-26,1.5346167006862174e-81,4.643331625881581e-25
