variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
positive_no_prior,2025-05-30,0.3514503331227192,0.9838308537515285,0.718573724858153,0.0,0.7413832216062756,0.975612797832757,0.8305396566330248,0.6956515655971557
positive_no_prior,2025-06-30,0.4392174492745199,0.9821542501399124,0.7496582607482553,0.0,0.7675788582595866,0.9734111771095547,0.8231496406703734,0.7346127813941207
positive_no_prior,2025-07-31,0.2080142481973457,0.9873195359969277,0.6630288438285663,0.0,0.6903060786844749,0.981340294050419,0.8139969722661061,0.6321219828885974
positive_no_prior,2025-08-29,0.26521286538450645,0.983913608549417,0.6771211122659065,0.0,0.7043038474672949,0.978354513924508,0.8419348924580089,0.6433797084470511
positive_no_prior,2025-09-30,0.3561334848569813,0.9869220819008463,0.7274182538495123,0.0,0.7489220271327283,0.9809031228167066,0.81996445521196,0.7084717874288537
positive_no_prior,2025-10-31,0.23521558318131314,0.9857176921974438,0.6811818785241875,0.0,0.7076445294130542,0.9790860400570486,0.8165978909350121,0.6534589153534676
positive_no_prior,2025-11-28,0.3502726941209652,0.9878513425298551,0.7256628902318515,0.0,0.7478240720526633,0.9687819142125663,0.8139193486788261,0.7075946388962504
positive_no_prior,2025-12-31,0.398597390776262,0.9842894117480873,0.7292058958851877,0.0,0.7486113730146957,0.971730291323611,0.8003773844688857,0.7146353549152968
positive_no_prior,2026-01-30,0.4598064790559122,0.9827953586083217,0.7816612768239735,0.0,0.7972191971708903,0.9762843443644259,0.8535028273333811,0.7669535578220474
positive_no_prior,2026-02-27,0.31931127263344133,0.9889742019458945,0.7099505718515063,0.0,0.730822173436953,0.9730925627103664,0.8343638098163091,0.6844801451815469
positive_no_prior,2026-03-31,0.22251285604815807,0.9919171866887269,0.6769761452056652,0.0,0.7013994045763581,0.9749823591502954,0.8117686354663807,0.6493808322389044
positive_no_prior,2026-04-30,0.3700926221341071,0.9821375252235106,0.7452036419039251,0.0,0.7648669335260008,0.9758588034563176,0.8199065190809045,0.7299101394897403
positive_beta_prior,2025-05-30,0.349416515149144,0.981607768113714,0.712789613971232,0.0,0.734587881152218,0.964919348607226,0.8269585226760832,0.689416451559215
positive_beta_prior,2025-06-30,0.34650821876782256,0.9777985150067172,0.7059903057144064,0.0,0.7277605850767657,0.9667842099462651,0.8250648334678174,0.6816128433396923
positive_beta_prior,2025-07-31,0.4191976106572678,0.9791914484791091,0.7313593575156517,0.0,0.7505240273833667,0.9587818822293447,0.8409606326209522,0.7089213011948812
positive_beta_prior,2025-08-29,0.3845767537284724,0.9860613148447048,0.708190759872058,0.0,0.7286508404508732,0.9521218538146794,0.8276759968940677,0.6837292152848747
positive_beta_prior,2025-09-30,0.3698057867227437,0.9791541713199161,0.7196534989715295,0.0,0.7385593061905005,0.964628851842337,0.8237119661894303,0.6983501907221954
positive_beta_prior,2025-10-31,0.43681771741871495,0.9707804842947981,0.7266659327485505,0.0,0.7453851367659047,0.9586885102989241,0.8271428431160355,0.706095856610325
positive_beta_prior,2025-11-28,0.2593245820438314,0.9637980397728687,0.6881517241232621,0.0,0.7124949601003797,0.9597039783817033,0.8108178763268217,0.6630389685540294
positive_beta_prior,2025-12-31,0.4506571070728008,0.9785906309441723,0.7224122577984692,0.0,0.7426720046344331,0.9608422472204499,0.8267649645045491,0.7010487115436811
positive_beta_prior,2026-01-30,0.3138678411342739,0.9830482002937535,0.6802038000619078,0.0,0.704925407416878,0.9716726301688197,0.8196772681697241,0.6516501766697567
positive_beta_prior,2026-02-27,0.3899849172982531,0.9776835197827713,0.7080793343764077,0.0,0.7280679037871229,0.9499840067764078,0.8296693215319277,0.6831868960611045
positive_beta_prior,2026-03-31,0.3946059956425178,0.9775196190218437,0.7141469234535309,0.0,0.7345197695912026,0.9718859558581554,0.8078924617583442,0.6949549234856165
positive_beta_prior,2026-04-30,0.4204551682554301,0.9748175263058627,0.7210299412462711,0.0,0.739846250016496,0.9627318610692297,0.8456253549505669,0.6955222187556278
signed_lkj_eta_1,2025-05-30,-0.025864421964412576,0.5464490331942986,0.18105598152807958,0.006535947712418301,0.24115807846870588,0.5148435530062844,0.24336881244433942,0.16829902401766414
signed_lkj_eta_1,2025-06-30,-0.03449393472872121,0.6321521739212145,0.1748142388378181,0.032679738562091505,0.23872816938811303,0.5252950604733352,0.25527271657313666,0.1583424244983041
signed_lkj_eta_1,2025-07-31,-0.0034446277577697797,0.6481705229321175,0.2054811763905239,0.006535947712418301,0.2645609000504858,0.5302185750397156,0.2683309684418569,0.19261428982883363
signed_lkj_eta_1,2025-08-29,-0.10078137512332111,0.7187938225999225,0.1950808683343559,0.006535947712418301,0.257384556606373,0.5381099614524816,0.2705030251480098,0.17964011182132436
signed_lkj_eta_1,2025-09-30,0.031774605897965526,0.5800502848141296,0.2005505023209674,0.0,0.25970547691208584,0.5236863663047594,0.25276212089152017,0.189861509542744
signed_lkj_eta_1,2025-10-31,0.013261622458324802,0.529803371811017,0.1896164412460643,0.0,0.24477049347535607,0.5093824706461373,0.2413032950760671,0.17903488061944955
signed_lkj_eta_1,2025-11-28,-0.029811700837179118,0.5397587910643965,0.18620557313008357,0.013071895424836602,0.2431061570220662,0.5078547404779653,0.22622559127005445,0.17801249855024703
signed_lkj_eta_1,2025-12-31,0.015919197151424695,0.6911576491059787,0.196298906157824,0.0,0.26183188039974653,0.5423740026804388,0.27326642889302044,0.18054177551912237
signed_lkj_eta_1,2026-01-30,-0.03331340661324758,0.5208029653464608,0.18907355620373806,0.013071895424836602,0.2438934047008495,0.5134715294438783,0.2295329883880131,0.18079052284317781
signed_lkj_eta_1,2026-02-27,-0.0351129915266206,0.684917805196698,0.19722623143831305,0.026143790849673203,0.2575757169995541,0.5469148929417882,0.2676452335091227,0.18280974282539142
signed_lkj_eta_1,2026-03-31,-0.019828925971134077,0.7597837406499549,0.20994507538919452,0.006535947712418301,0.27032058955847404,0.5672193868641353,0.2987713369505841,0.19176017144749272
signed_lkj_eta_1,2026-04-30,-0.14384134140450247,0.7688739549325359,0.20123878762122513,0.006535947712418301,0.26131326619108297,0.5563451744699144,0.2959448430493095,0.18185014635248345
signed_lkj_eta_2,2025-05-30,0.010855815381690502,0.5133548604993262,0.1570913733802035,0.0,0.21632453423399595,0.4721367115304923,0.19832222423546567,0.14865041178778765
signed_lkj_eta_2,2025-06-30,0.011971315383086321,0.5578136915302772,0.1608572544237245,0.0,0.22117349907008924,0.48383723934561207,0.20525226686076453,0.15176851172007852
signed_lkj_eta_2,2025-07-31,0.01095157962450588,0.369784311227308,0.15259221525009772,0.0,0.207397733953063,0.45199471656360984,0.18221768392443366,0.14652715867109978
signed_lkj_eta_2,2025-08-29,0.016136814666726732,0.45155499877028366,0.1648224682792621,0.0,0.21949594037095593,0.4772187443294957,0.20965242484107968,0.1556446818965278
signed_lkj_eta_2,2025-09-30,0.028553534456071346,0.42346376347916503,0.15313548991380677,0.0,0.2096292290097985,0.4610981916736649,0.18926710284408152,0.14573846679422298
signed_lkj_eta_2,2025-10-31,-0.005554811147386123,0.46332347343228686,0.15962346809388403,0.013071895424836602,0.21651231177537467,0.49084389379336,0.21652942699756733,0.1479734292632087
signed_lkj_eta_2,2025-11-28,-0.012318436096519298,0.5860790540979407,0.16567344662508182,0.006535947712418301,0.22599630988335495,0.4952822014608695,0.22355975767504452,0.15382270578020754
signed_lkj_eta_2,2025-12-31,-0.027791634293001206,0.4669791731362961,0.15985692743005492,0.013071895424836602,0.21578434454720802,0.49095190016533075,0.21939366100256444,0.14766830480891124
signed_lkj_eta_2,2026-01-30,0.02557274997181701,0.47659803830140346,0.17130865042524496,0.0,0.22857185252271384,0.4930364476551342,0.22574535811630556,0.16016412759085458
signed_lkj_eta_2,2026-02-27,0.0197655150873862,0.5262340341687068,0.17591706086222905,0.0,0.2337776170187773,0.5007253502148613,0.2270423237748117,0.165450471604535
signed_lkj_eta_2,2026-03-31,0.031930881035221875,0.45025276789464996,0.16483772532673047,0.0,0.22062242100104054,0.4896400262983291,0.21226720440950853,0.15512775323104358
signed_lkj_eta_2,2026-04-30,0.006298788295664244,0.5581500854153317,0.17066507231182274,0.0,0.2273618981617339,0.4899102100270683,0.22301556204982875,0.15994764921585303
