variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
historical_mean,2025-05-30,0.034951745512970915,0.030401376664127653,-2.0500862628703893,0.8333333333333334,1.0
historical_mean,2025-06-30,0.011028310447123681,0.008440522076973968,-2.3550774404157386,1.0,1.0
historical_mean,2025-07-31,0.03419546376827779,0.027351215783978356,-2.1063142863560396,0.8333333333333334,1.0
historical_mean,2025-08-29,0.019649740203887062,0.015171436315612345,-2.2861403864173244,0.9444444444444444,1.0
historical_mean,2025-09-30,0.013907349869256357,0.011382441288717389,-2.348111041638857,1.0,1.0
historical_mean,2025-10-31,0.013481636197343872,0.010728897666028999,-2.3643196765074195,1.0,1.0
historical_mean,2025-11-28,0.011625700929323152,0.008912798579041118,-2.3830134777600227,1.0,1.0
historical_mean,2025-12-31,0.03230572272762712,0.024644448514883868,-2.182483543839166,0.8333333333333334,1.0
historical_mean,2026-01-30,0.03162463953182423,0.02605215226013544,-2.128256533395814,0.7222222222222222,1.0
historical_mean,2026-02-27,0.06186219957546183,0.05380354213390605,-1.3341721726780527,0.2777777777777778,0.8333333333333334
historical_mean,2026-03-31,0.0709028331692661,0.056573324397754275,-1.2960626942596347,0.3888888888888889,0.7222222222222222
historical_mean,2026-04-30,0.025018535889533077,0.017297672666777522,-2.2929780633033783,0.9444444444444444,1.0
positive_no_prior,2025-05-30,0.034504207067506364,0.030004525999638296,-2.0645166076994528,0.8333333333333334,1.0
positive_no_prior,2025-06-30,0.010411560994515207,0.007939752987511125,-2.386280163744497,1.0,1.0
positive_no_prior,2025-07-31,0.034623005430961216,0.027501362634254373,-2.1769961898352985,0.7222222222222222,1.0
positive_no_prior,2025-08-29,0.018562744797758456,0.014120753830791885,-2.484405179340666,0.9444444444444444,1.0
positive_no_prior,2025-09-30,0.014306955175637468,0.011265301477649176,-2.4948806631475184,1.0,1.0
positive_no_prior,2025-10-31,0.013507917523938085,0.010077815506807421,-2.51076713546425,1.0,1.0
positive_no_prior,2025-11-28,0.012382719015007001,0.009722865497395929,-2.448126540362261,1.0,1.0
positive_no_prior,2025-12-31,0.030832027498806976,0.02339636992939444,-2.318572905326573,0.6666666666666666,1.0
positive_no_prior,2026-01-30,0.030134775848423466,0.024347693994640554,-2.231260457623392,0.5555555555555556,1.0
positive_no_prior,2026-02-27,0.06412298658976856,0.05576343601863148,-0.8747606004572432,0.1111111111111111,0.7222222222222222
positive_no_prior,2026-03-31,0.06922328373243941,0.054825991356575905,-0.8991549511773863,0.3333333333333333,0.6111111111111112
positive_no_prior,2026-04-30,0.02363197115322057,0.017140946345398974,-2.404062233254723,0.8888888888888888,1.0
positive_beta_prior,2025-05-30,0.034883733658172544,0.030101627233152746,-2.09242631957408,0.7777777777777778,1.0
positive_beta_prior,2025-06-30,0.01056394645501938,0.007729696625479732,-2.3728225644227003,1.0,1.0
positive_beta_prior,2025-07-31,0.03454456219074057,0.02737764248861486,-2.1262867177800753,0.7777777777777778,1.0
positive_beta_prior,2025-08-29,0.019078736672055358,0.014426270052747402,-2.487272133898712,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.013735269670853742,0.010976818903425058,-2.5045798367256618,1.0,1.0
positive_beta_prior,2025-10-31,0.013878448967214883,0.01030223486539721,-2.5724422282569366,1.0,1.0
positive_beta_prior,2025-11-28,0.012566423134229095,0.00992737951963737,-2.492095491218934,1.0,1.0
positive_beta_prior,2025-12-31,0.030176281004443438,0.02298191414305857,-2.333316711131518,0.6111111111111112,1.0
positive_beta_prior,2026-01-30,0.02912075639025218,0.02368365311622422,-2.2437832724341877,0.6111111111111112,1.0
positive_beta_prior,2026-02-27,0.06413632986449451,0.05580215847237797,-0.951166379089517,0.16666666666666666,0.7222222222222222
positive_beta_prior,2026-03-31,0.06965979202606916,0.0553452879697626,-0.9498311476983388,0.3333333333333333,0.6111111111111112
positive_beta_prior,2026-04-30,0.025841741209043895,0.01845891382613327,-2.254255795754038,0.9444444444444444,1.0
