variant,n_windows,R2_pooled,R2_avg,IC,IC_p_value,IR,HitRatio,rmse,mae,nlpd,cover_1sd,cover_2sd,top_bottom_5_cum_return,top_bottom_5_ann_return,top_bottom_5_ann_vol,top_bottom_5_sharpe,top_bottom_5_max_drawdown,top_bottom_5_mean_monthly,top_bottom_5_hit_rate
historical_mean,12.0,-0.16903683649927026,-0.17178966000139612,0.3137254901960784,0.01795603842014141,0.8020476231492772,0.5555555555555556,0.03527612999305388,0.024229985695661416,-2.0939179649534867,0.8148148148148148,0.9629629629629629,0.21474589784588427,0.22052196441974248,0.09930496971842363,2.220653860980232,-0.04755200408992853,0.0167452058040654,0.75
positive_no_prior,12.0,-0.15108569006608685,-0.15313541484461193,0.2789817681458548,0.04568832241984589,0.6502438485983063,0.5925925925925926,0.03500424088025715,0.023842234631557463,-2.107815302286105,0.7546296296296297,0.9444444444444444,0.21716854861686485,0.22230178109871912,0.09347767128669654,2.3781270761112387,-0.039182117876240055,0.016868678368425198,0.75
positive_beta_prior,12.0,-0.15999431502896932,-0.15235838393617446,0.28723770209838323,0.03463743059065146,0.6955988717128848,0.5925925925925927,0.03513943438641119,0.023926133101334252,-2.115023216498725,0.7638888888888888,0.9444444444444444,0.20253864392113807,0.2083552320939499,0.09958309262816789,2.0922751703637585,-0.049890037904448035,0.01589670622068196,0.8333333333333334
signed_lkj_eta_1,12.0,-0.14555574910843316,-0.1440466089302616,0.2997936016511868,0.03700398637894974,0.6848117424052468,0.625,0.03492005756026963,0.023621787734776505,-1.9872985993199563,0.6666666666666666,0.8703703703703703,0.2123420241579015,0.2193869114764897,0.10984485733194534,1.9972433558133185,-0.049930408662012864,0.016666376700046056,0.8333333333333334
signed_lkj_eta_2,12.0,-0.16945043963919537,-0.16391461329087978,0.28912968696250435,0.04439307647292244,0.6549754840716838,0.638888888888889,0.03528236975701818,0.023702047570037323,-1.9469274281391857,0.6574074074074074,0.8796296296296297,0.17313548233754084,0.18033991815404238,0.11150848697033174,1.6172752680432667,-0.07202029324754901,0.013912766053862156,0.75
