strategy,n_rebalances,cumulative_return,cagr,annualized_vol,sharpe,max_drawdown,terminal_value,mean_period_return,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic
gp_scenarios_riskfolio,1.0,-0.0027095606181710696,-0.03203452383840588,0.0,,0.0,9972.90439381829,-0.0027095606181711043,-0.0027095606181711043,0.0,1.0,0.35000000004923143,-1.0,-1.0
historical_y_ewma2_gerber1_riskfolio,1.0,-0.0014409546564194686,-0.01715507285050999,0.0,,0.0,9985.590453435805,-0.0014409546564194842,-0.0014409546564194842,0.0,1.0000000000000002,0.3499999995143092,,
equal_weight,1.0,-0.0020543780452677574,-0.024375884287534566,0.0,,0.0,9979.456219547323,-0.002054378045267813,-0.002054378045267813,0.0,1.0,0.25,,
schwab_moderate_aggressive_static,1.0,-0.0018153566590758397,-0.02156808640143071,0.0,,0.0,9981.846433409242,-0.0018153566590758284,-0.0018153566590758284,0.0,1.0,0.45,,
