variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
positive_beta_prior,2025-05-30,0.027210046766573567,0.023695943533768884,-2.2026514705547813,0.8888888888888888,1.0
positive_beta_prior,2025-06-30,0.010679063764470658,0.007661244197588875,-2.493424877419066,1.0,1.0
positive_beta_prior,2025-07-31,0.03611308705104441,0.029420866613023487,-2.116530505166766,0.6111111111111112,1.0
positive_beta_prior,2025-08-29,0.016396928162858895,0.011933831182039133,-2.4568597700571027,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.0167597148395118,0.012356714722715559,-2.5762699060604595,0.9444444444444444,1.0
positive_beta_prior,2025-10-31,0.0160378835204541,0.01161451227600429,-2.435004688281318,1.0,1.0
positive_beta_prior,2025-11-28,0.014833756769727126,0.01252638590028575,-2.619547128686278,1.0,1.0
positive_beta_prior,2025-12-31,0.030179868812048614,0.02325233653297068,-2.3806039114077646,0.6111111111111112,1.0
positive_beta_prior,2026-01-30,0.026073340774276116,0.020896061455468806,-2.329812087638791,0.6111111111111112,1.0
positive_beta_prior,2026-02-27,0.06983955975281175,0.059740756056444355,-0.32565544217637643,0.1111111111111111,0.6111111111111112
positive_beta_prior,2026-03-31,0.07713533081264816,0.06191584250379635,-0.7175136959788175,0.2777777777777778,0.6111111111111112
positive_beta_prior,2026-04-30,0.01900346554389122,0.013771068929854911,-2.36676356120957,1.0,1.0
