date,price,log_ret,mom1m,mom6m,mom12m,mom36m,chmom,volume,dolvol,turnover,sd_turn,ill,vol_1w,vol_1m,vol_3m,vol_of_vol,vol_z,vol_accel,ma_1m,ma_3m,ma_signal,ma_regime,trend_slope,overnight_gap,ret_autocorr,vol_autocorr,ret_skew,ret_kurt,baspread,max_dd_3m,max_dd_6m,asset_id
2014-07-31,58.69731140136719,-0.000854958615235546,-0.0008545932422524549,0.0,0.0,0.0,0.0,29997000,1763602452.386856,0.8862136301679163,0.0,1.916411319984321e-11,0.0014293451642767541,0.0016150214820999675,0.0,0.0,0.0,0.22877016112819132,58.801827566964285,0.0,0.0,0,0.014505970942509277,-4.071231501122901e-05,0.0642762805402182,0.0,0.0,0.0,0.00798357632424488,0.0,0.0,BND
2014-07-31,37.375850677490234,0.0056350361339578825,0.005650942814277471,0.0,0.0,0.0,0.0,3774200,140871151.20010376,-0.15263934993175454,0.0,1.516118348491007e-10,0.0009683142727180858,0.0010455831965443343,0.0,0.0,0.0,0.14381628644252098,37.304811386835006,0.0,0.0,0,0.015499055540406714,0.00026833505399799837,-0.3050157266436136,0.0,0.0,0.0,0.007497211778735982,0.0,0.0,BNDX
2014-07-31,36.067054748535156,-0.018122402773475876,-0.017959179518776458,0.0,0.0,0.0,0.0,2166700,79719415.02456665,0.015383951508481097,0.0,2.427934560575338e-09,0.007194397321737899,0.007685819462983494,0.0,0.0,0.0,0.3589762711817845,36.86159279232933,0.0,0.0,0,-0.004395809421291767,-0.0008629715606417208,-0.35436666900253516,0.0,0.0,0.0,0.03838477701344238,0.0,0.0,EWX
2014-07-31,12.839899063110352,-0.006112031417342401,-0.006093390949695521,0.0,0.0,0.0,0.0,1994200,25863035.6757164,0.8644573596258666,0.0,2.257215022282756e-09,0.002493789720743402,0.0031406755768795818,0.0,0.0,0.0,0.3888072604110731,12.991240455990745,0.0,0.0,0,-0.0024918890618657328,-0.0002910491151115121,-0.036534386323478926,0.0,0.0,0.0,0.03298525828803705,0.0,0.0,HYEM
2014-07-31,50.029144287109375,-0.024883255363175927,-0.024576219123537357,0.0,0.0,0.0,0.0,79705200,4050955507.4272156,0.8145363482720991,0.0,1.2105408470448995e-11,0.00248247370000176,0.0029015444556488674,0.0,0.0,0.0,0.13487086156250921,50.891883486793155,0.0,0.0,0,-0.04288498023887755,-0.0011849169220559885,0.019910594360553827,0.0,0.0,0.0,0.016234934279900925,0.0,0.0,HYG
2014-07-31,80.17880249023438,0.0010659205597987054,0.0010664888550200313,0.0,0.0,0.0,0.0,50969900,4090100349.3995667,-0.3022879194781387,0.0,3.5473073327255267e-11,0.0028253099053656915,0.003050926520790391,0.0,0.0,0.0,0.7440421794736377,80.37759617396763,0.0,0.0,0,0.036932997270064,5.075812189516785e-05,-0.09250158073963723,0.0,0.0,0.0,0.013372065244301588,0.0,0.0,IEF
2014-07-31,44.59992218017578,-0.06898014432202526,-0.06665478790381107,0.0,0.0,0.0,0.0,23169400,1070662810.4187012,0.20195900456194965,0.0,1.4369039410921253e-10,0.007783593437006266,0.008585340026240607,0.0,0.0,0.0,0.0920251128333416,46.12827646164667,0.0,0.0,0,-0.10485711531205667,-0.003284768777239312,-0.35223548011722655,0.0,0.0,0.0,0.05869961765803234,0.0,0.0,IJR
2014-07-31,95.6483154296875,-0.07258632188042569,-0.07001453489881582,0.0,0.0,0.0,0.0,888665600,87871813354.1069,0.16839419539760292,0.0,1.9216225333107433e-12,0.008604542107905297,0.00931250251937061,0.0,0.0,0.0,0.09328019026202262,98.88563210623605,0.0,0.0,0,-0.2432541587136006,-0.003456491518115524,-0.2957411231986989,0.0,0.0,0.0,0.05881476866679309,0.0,0.0,IWM
2014-07-31,79.42029571533203,0.0006758431876372484,0.0006760716211029472,0.0,0.0,0.0,0.0,28786000,2289958254.425049,0.46879483195761307,0.0,2.733860807216123e-11,0.002486575835098464,0.002591277546055145,0.0,0.0,0.0,0.10761720799571763,79.6560309273856,0.0,0.0,0,0.03435882964691585,3.218300893507906e-05,-0.07211747200686328,0.0,0.0,0.0,0.012960094756266527,0.0,0.0,LQD
2014-07-31,68.67682647705078,-0.021536523218170345,-0.021306268228310166,0.0,0.0,0.0,0.0,1768400,123693130.01022339,0.6154942201944419,0.0,1.0712005754586666e-09,0.006837213219202028,0.007452688279415366,0.0,0.0,0.0,0.14772199140143896,69.97432163783482,0.0,0.0,0,-0.019793720988485728,-0.0010255487246747979,-0.40387383683562456,0.0,0.0,0.0,0.03516048320321211,0.0,0.0,MGK
