date,asset_id,y_excess_lead
2014-07-31,BND,0.011396134478253828
2014-07-31,BNDX,0.013661834739327139
2014-07-31,EWX,0.026910533920777135
2014-07-31,HYEM,0.0026793893689325277
2014-07-31,HYG,0.023785007663232438
2014-07-31,IEF,0.018785136790237855
2014-07-31,IJR,0.04249015062633599
2014-07-31,IWM,0.04827682808600264
2014-07-31,LQD,0.02002178152163525
2014-07-31,MGK,0.044446192410632746
2014-07-31,SPY,0.039444787825655636
2014-07-31,VEA,0.002627989048656465
2014-07-31,VNQ,0.030421822823025968
2014-07-31,VNQI,0.002539207161543322
2014-07-31,VSS,0.014545547587842655
2014-07-31,VTV,0.03436487771549368
2014-07-31,VWO,0.03840762782703444
2014-07-31,VWOB,0.011040221713550347
2014-08-29,BND,-0.005726197049570891
2014-08-29,BNDX,-0.001275737992113779
2014-08-29,EWX,-0.061066573141004055
2014-08-29,HYEM,-0.014688260752917626
2014-08-29,HYG,-0.019838577957493664
2014-08-29,IEF,-0.010505529885055265
2014-08-29,IJR,-0.052130914788086846
2014-08-29,IWM,-0.05928901446924828
2014-08-29,LQD,-0.01682656310000996
2014-08-29,MGK,-0.01446431403744497
2014-08-29,SPY,-0.013806873901029193
2014-08-29,VEA,-0.04153821327499052
2014-08-29,VNQ,-0.06041564896722018
2014-08-29,VNQI,-0.06580999614105998
2014-08-29,VSS,-0.06271593783227924
2014-08-29,VTV,-0.012795372940903271
2014-08-29,VWO,-0.07166776895138938
2014-08-29,VWOB,-0.022050362767496723
2014-09-30,BND,0.0072179982202340565
2014-09-30,BNDX,0.00604087163536815
2014-09-30,EWX,-0.01522428365147721
2014-09-30,HYEM,0.000698937665091437
2014-09-30,HYG,0.010595432474332478
2014-09-30,IEF,0.015353418790250872
2014-09-30,IJR,0.06911713707594602
2014-09-30,IWM,0.06592480008574264
2014-09-30,LQD,0.012332734963381053
2014-09-30,MGK,0.028403680118445518
2014-09-30,SPY,0.023540938305027348
2014-09-30,VEA,-0.0035319433125509114
2014-09-30,VNQ,0.09936305083370378
2014-09-30,VNQI,0.04425079850225466
2014-09-30,VSS,-0.014892532605894404
2014-09-30,VTV,0.0179705283107523
2014-09-30,VWO,0.022286853350157232
2014-09-30,VWOB,0.01621355681163883
2014-10-31,BND,0.008300416637426533
2014-10-31,BNDX,0.009054793259408722
2014-10-31,EWX,-0.012707697565868314
2014-10-31,HYEM,-0.019958839815857
2014-10-31,HYG,-0.010820253491274356
2014-10-31,IEF,0.012877055072347376
2014-10-31,IJR,-0.0018926076964644878
2014-10-31,IWM,0.00110577908694931
