asset_id,n,rmse,mae,bias,mean_y_true,mean_y_pred,std_y_true,std_y_pred,mean_pred_std,mean_gaussian_nll,standardized_residual_mean,standardized_residual_std,coverage_50,coverage_80,coverage_95
IWM,1,0.0101891859719282,0.0101891859719282,0.0101891859719282,-0.0039058411565946,0.0062833448153336,,,0.0636568918431014,-1.822498884174627,-0.16006414508961636,,1.0,1.0,1.0
MGK,1,0.0093635105028261,0.0093635105028261,-0.0093635105028261,-0.0001453465832574,-0.0095088570860835,,,0.0592761463909995,-1.894133425673015,0.15796422461511192,,1.0,1.0,1.0
SPY,1,0.0007169785067358001,0.0007169785067358001,0.0007169785067358001,-0.0014976544394167,-0.0007806759326809,,,0.0482797220325594,-2.111694838140911,-0.014850510246357185,,1.0,1.0,1.0
VTV,1,0.013489196237516599,0.013489196237516599,0.013489196237516599,-0.0026686700018023,0.0108205262357143,,,0.046047730436823,-2.1162315121229573,-0.29293943717863863,,1.0,1.0,1.0
