variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
positive_beta_prior,2025-05-30,0.4066063619401166,0.9931241903897646,0.7294325688251673,0.0,0.7498700019992365,0.9663812754102958,0.8274818492216054,0.7093594877991248
positive_beta_prior,2025-06-30,0.42677402502824613,0.9916995185624303,0.7360206046798342,0.0,0.7550724989453861,0.9606711893351485,0.8370282051433,0.7153418833251087
positive_beta_prior,2025-07-31,0.4410658790393972,0.9932465553725761,0.7358136507692276,0.0,0.7550667574176395,0.9589715907178622,0.834876661821139,0.7155330343334032
positive_beta_prior,2025-08-29,0.4483565688845634,0.9925659741726383,0.7433118134815495,0.0,0.7617199505249178,0.956657848075117,0.8342365688678891,0.7246972966308027
positive_beta_prior,2025-09-30,0.43798545993969695,0.9912598105089236,0.7456559390188708,0.0,0.7640132825367179,0.9638557303851033,0.8367142345638865,0.7270140832380013
positive_beta_prior,2025-10-31,0.5175261964560844,0.9933215183729386,0.75985535231299,0.0,0.7764108517536377,0.9533641029791067,0.8471237526923578,0.741989380581781
positive_beta_prior,2025-11-28,0.49084433104574055,0.9913322841705091,0.7495476960220664,0.0,0.7673226982273907,0.9565551230176906,0.8396845357731597,0.7310944847344409
positive_beta_prior,2025-12-31,0.46080195106923855,0.9911388630690089,0.7407067115534122,0.0,0.7594495922016414,0.9564276267788594,0.8283183132284536,0.722770478139624
positive_beta_prior,2026-01-30,0.43195731967177164,0.9912445601338251,0.7431825503480514,0.0,0.7617323097177646,0.9574388592996219,0.8285921291092043,0.725697124774902
positive_beta_prior,2026-02-27,0.49408697551679664,0.9934639426833367,0.7422625454404759,0.0,0.7598700471503141,0.939204090232907,0.8396246678452456,0.7223301424284757
positive_beta_prior,2026-03-31,0.4220907804107761,0.9917885451538299,0.7315374745084123,0.0,0.7510717132357132,0.9657822398657583,0.8224497100006859,0.7129255207855847
positive_beta_prior,2026-04-30,0.387853578436445,0.9937094218149546,0.7364469804463916,0.0,0.7568117931342097,0.9720946171606667,0.8577266335497966,0.7116180750866392
