variant,n_windows,R2_pooled,R2_avg,IC,IC_p_value,IR,HitRatio,rmse,mae,nlpd,cover_1sd,cover_2sd,top_bottom_5_cum_return,top_bottom_5_ann_return,top_bottom_5_ann_vol,top_bottom_5_sharpe,top_bottom_5_max_drawdown,top_bottom_5_mean_monthly,top_bottom_5_hit_rate,resid_R2_pooled,resid_R2_avg,resid_IC,resid_IC_p_value,resid_IR,resid_HitRatio,resid_rmse,resid_mae,resid_nlpd,resid_cover_1sd,resid_cover_2sd,resid_top_bottom_5_cum_return,resid_top_bottom_5_ann_return,resid_top_bottom_5_ann_vol,resid_top_bottom_5_sharpe,resid_top_bottom_5_max_drawdown,resid_top_bottom_5_mean_monthly,resid_top_bottom_5_hit_rate
historical_mean,12.0,-0.16903683649927026,-0.17178966000139612,0.3137254901960784,0.01795603842014141,0.8020476231492772,0.5555555555555556,0.03527612999305388,0.024229985695661416,-2.0939179649534867,0.8148148148148148,0.9629629629629629,0.21474589784588427,0.22052196441974248,0.09930496971842363,2.220653860980232,-0.04755200408992853,0.0167452058040654,0.75,-0.1465093050822619,-0.144572894933496,,,,0.0,0.03527612999305388,0.024229985695661416,-2.0939179649534867,0.8148148148148148,0.9629629629629629,,,,,,,
positive_no_prior_both,12.0,-0.19265654650802166,-0.1771747934675957,0.16804265565875476,0.1715931897317695,0.42217377240755677,0.5555555555555557,0.03563071475936074,0.02429042275565221,-2.1165533609989535,0.7592592592592593,0.9444444444444444,0.09962325521316129,0.10335385704106503,0.08236880320953635,1.2547694395673714,-0.06095321815354398,0.008229889380524026,0.6666666666666666,-0.1696738594084295,-0.15002516216949824,-0.10457516339869281,0.3518318914839805,-0.28065754408495347,0.5787037037037038,0.03563071475936074,0.02429042275565221,-2.1165533609989535,0.7592592592592593,0.9444444444444444,-0.06458484932944031,-0.0612445009466106,0.08364793056922327,-0.7321699476585066,-0.08970596209453628,-0.005252840170771628,0.5
positive_no_prior_outputscale_only,12.0,-0.1764803483286439,-0.15307891068956594,0.19917440660474714,0.17025485644656857,0.42361692607237544,0.5879629629629629,0.03538825718820739,0.024177815299652208,-2.13251433940219,0.75,0.9444444444444444,0.1410704461699328,0.14467244922890266,0.07966635738018292,1.8159792161514097,-0.04480898423424157,0.01132350814616945,0.75,-0.15380937921886706,-0.12663191065494034,0.031647746818025436,0.8129095407087716,0.06998281714258334,0.6064814814814814,0.03538825718820739,0.0241778152996522,-2.13251433940219,0.75,0.9444444444444444,-0.018746219821535903,-0.014531680634704891,0.09223288054485404,-0.157554231732337,-0.0691481834535507,-0.001219114581037726,0.4166666666666667
positive_no_prior_lengthscale_only,12.0,-0.2033685276939181,-0.1834070161214932,0.12538699690402477,0.27123507837410143,0.3343992048211674,0.4953703703703703,0.03579036774530895,0.024722541301232876,-2.091355520043446,0.8148148148148148,0.9629629629629629,0.07850801890493986,0.08059002933701342,0.061923233207230095,1.3014506052568944,-0.04226157097749239,0.0064798385176052424,0.75,-0.18017941896143186,-0.15613517900130627,-0.1434468524251806,0.2461602184577402,-0.35362660900267245,0.5462962962962962,0.03579036774530895,0.024722541301232876,-2.091355520043446,0.8148148148148148,0.9629629629629629,-0.10482609702099532,-0.10037822187479573,0.0981558845672284,-1.0226408973579695,-0.11699995598158287,-0.008776332050930329,0.3333333333333333
positive_no_prior_neither,12.0,-0.19163534166818996,-0.15517185555773613,0.19229446164430686,0.1683332645526031,0.42570606330662714,0.5833333333333334,0.03561545720232163,0.024330427067239983,-2.140972113110096,0.7962962962962963,0.9675925925925926,0.10612998619380343,0.11020561514004257,0.08612804908169366,1.279555456266181,-0.05003722908214469,0.008750163905940725,0.6666666666666666,-0.16867233335321274,-0.12871736380518664,-0.030959752321981403,0.8136295993265438,-0.06970769548924971,0.5740740740740741,0.03561545720232163,0.024330427067239983,-2.140972113110096,0.7962962962962963,0.9675925925925926,-0.07477846915626052,-0.06830926925458936,0.11553273216359328,-0.5912546857964379,-0.14055659627965508,-0.00587884765989537,0.5833333333333334
