variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
historical_mean,2025-05-30,0.034951745512970915,0.030401376664127653,-2.0500862628703893,0.8333333333333334,1.0
historical_mean,2025-06-30,0.011028310447123681,0.008440522076973968,-2.3550774404157386,1.0,1.0
historical_mean,2025-07-31,0.03419546376827779,0.027351215783978356,-2.1063142863560396,0.8333333333333334,1.0
historical_mean,2025-08-29,0.019649740203887062,0.015171436315612345,-2.2861403864173244,0.9444444444444444,1.0
historical_mean,2025-09-30,0.013907349869256357,0.011382441288717389,-2.348111041638857,1.0,1.0
historical_mean,2025-10-31,0.013481636197343872,0.010728897666028999,-2.3643196765074195,1.0,1.0
historical_mean,2025-11-28,0.011625700929323152,0.008912798579041118,-2.3830134777600227,1.0,1.0
historical_mean,2025-12-31,0.03230572272762712,0.024644448514883868,-2.182483543839166,0.8333333333333334,1.0
historical_mean,2026-01-30,0.03162463953182423,0.02605215226013544,-2.128256533395814,0.7222222222222222,1.0
historical_mean,2026-02-27,0.06186219957546183,0.05380354213390605,-1.3341721726780527,0.2777777777777778,0.8333333333333334
historical_mean,2026-03-31,0.0709028331692661,0.056573324397754275,-1.2960626942596347,0.3888888888888889,0.7222222222222222
historical_mean,2026-04-30,0.025018535889533077,0.017297672666777522,-2.2929780633033783,0.9444444444444444,1.0
positive_no_prior,2025-05-30,0.034106811998822324,0.029683271306386896,-2.041899357833172,0.8333333333333334,1.0
positive_no_prior,2025-06-30,0.011007778138586397,0.008231446727936175,-2.4271543710571586,1.0,1.0
positive_no_prior,2025-07-31,0.03397917774843432,0.02711427517027229,-2.1586109664143236,0.6666666666666666,1.0
positive_no_prior,2025-08-29,0.01835243815521335,0.014184395377456428,-2.509925481262608,0.9444444444444444,1.0
positive_no_prior,2025-09-30,0.013601736596623384,0.011023453046145264,-2.431135859116927,1.0,1.0
positive_no_prior,2025-10-31,0.014516030991852733,0.010752082194710093,-2.5207580105045233,1.0,1.0
positive_no_prior,2025-11-28,0.012525626655206195,0.009665772575695751,-2.5568392101645845,1.0,1.0
positive_no_prior,2025-12-31,0.03008614044583348,0.02258698728173353,-2.306732442281484,0.7222222222222222,1.0
positive_no_prior,2026-01-30,0.029222007496108076,0.02374797024262547,-2.2449310424229467,0.6111111111111112,1.0
positive_no_prior,2026-02-27,0.06539314087474712,0.05689766402366801,-0.7966322379993314,0.05555555555555555,0.7222222222222222
positive_no_prior,2026-03-31,0.06999310900455646,0.05555006170549301,-1.0737940834754731,0.3333333333333333,0.6666666666666666
positive_no_prior,2026-04-30,0.024412180642079107,0.01729373210497939,-2.3865158475531505,0.8888888888888888,1.0
positive_beta_prior,2025-05-30,0.033428781446146874,0.02889813597477584,-2.1190462201677867,0.8333333333333334,1.0
positive_beta_prior,2025-06-30,0.010137803580102049,0.007647390027533069,-2.5054781968624376,1.0,1.0
positive_beta_prior,2025-07-31,0.03500478912983347,0.02790006751794968,-2.1589032574529936,0.6666666666666666,1.0
positive_beta_prior,2025-08-29,0.018944334652213835,0.014478800245976031,-2.396073207481811,0.9444444444444444,1.0
positive_beta_prior,2025-09-30,0.01358018044020188,0.010902501998128748,-2.531829899056707,1.0,1.0
positive_beta_prior,2025-10-31,0.013360543061744981,0.009892898989938026,-2.4910305014255423,1.0,1.0
positive_beta_prior,2025-11-28,0.013055532756823064,0.010294882890011884,-2.5427094086188733,1.0,1.0
positive_beta_prior,2025-12-31,0.03033497036777417,0.02300925053975262,-2.3537465814038585,0.6666666666666666,1.0
positive_beta_prior,2026-01-30,0.02940806048281636,0.024023937397248438,-2.223572918169653,0.4444444444444444,1.0
positive_beta_prior,2026-02-27,0.06422214933917274,0.055803752422111635,-0.8487213682032982,0.1111111111111111,0.7222222222222222
positive_beta_prior,2026-03-31,0.06954719841945717,0.055111312630999866,-0.9736224382526001,0.3333333333333333,0.6111111111111112
positive_beta_prior,2026-04-30,0.02525552582298748,0.016795109732627496,-2.386961603763023,0.9444444444444444,1.0
