variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group
signed_lkj_eta_2_lengthscale_floor,2025-05-30,0.020944993588959248,0.6152421856574651,0.1567612064833517,0.0,0.21682820737523262,0.4815024796086153,0.2103432351834502,0.1457916573006544
signed_lkj_eta_2_lengthscale_floor,2025-06-30,0.021141374621862125,0.6043140968248465,0.15891245784454405,0.0,0.21841032615380124,0.4848600586770928,0.2137393344225689,0.14768805791518463
signed_lkj_eta_2_lengthscale_floor,2025-07-31,0.02818463769476321,0.638908532526909,0.16041734747935826,0.0,0.22049345150597172,0.4879088752381268,0.2171340178607319,0.1488060606296282
signed_lkj_eta_2_lengthscale_floor,2025-08-29,0.013698529375652304,0.6309440318627674,0.1623162234056094,0.0,0.2212366603503916,0.4911833946814627,0.21665278384551306,0.15119220315807008
signed_lkj_eta_2_lengthscale_floor,2025-09-30,0.021224675801930645,0.6524698848574113,0.16221158025688856,0.0,0.22213640411148936,0.4927385974166424,0.22311779678419816,0.14974259104657323
signed_lkj_eta_2_lengthscale_floor,2025-10-31,-0.0029551562979481458,0.5867103455714565,0.16362017983502142,0.006535947712418301,0.22150465483230525,0.4868496321620215,0.21969286366165733,0.15214073275240303
signed_lkj_eta_2_lengthscale_floor,2025-11-28,-0.0021776468641203986,0.6258025604527921,0.16595089271060495,0.006535947712418301,0.22431832766500426,0.49452801754831444,0.22400157277700303,0.15406650151590925
signed_lkj_eta_2_lengthscale_floor,2025-12-31,0.026928702082588213,0.6157366368675289,0.168047104709511,0.0,0.22637629613435445,0.4991955932440426,0.22867738679203642,0.15563460601545068
signed_lkj_eta_2_lengthscale_floor,2026-01-30,0.013669419726152132,0.6174075901554573,0.1692642084137053,0.0,0.22721702110884484,0.4998205719072966,0.23120004205974437,0.15658443144679962
signed_lkj_eta_2_lengthscale_floor,2026-02-27,0.00791345721086268,0.6047441606026623,0.16759954667333543,0.0,0.22532359265465057,0.49573758291942216,0.23074022136074143,0.1546731093357563
signed_lkj_eta_2_lengthscale_floor,2026-03-31,-0.0028436589814395375,0.6169082279052353,0.17197249070452325,0.006535947712418301,0.2300521595050867,0.5004778770592584,0.23596112440176384,0.1588724554594189
signed_lkj_eta_2_lengthscale_floor,2026-04-30,0.028768996107900433,0.6229466029971844,0.17359486553149145,0.0,0.23145819060573836,0.5072751999891599,0.24212134559861623,0.1595658223681431
