variant,n_windows,R2_pooled,R2_avg,IC,IC_p_value,IR,HitRatio,rmse,mae,nlpd,cover_1sd,cover_2sd,top_bottom_5_cum_return,top_bottom_5_ann_return,top_bottom_5_ann_vol,top_bottom_5_sharpe,top_bottom_5_max_drawdown,top_bottom_5_mean_monthly,top_bottom_5_hit_rate,resid_R2_pooled,resid_R2_avg,resid_IC,resid_IC_p_value,resid_IR,resid_HitRatio,resid_rmse,resid_mae,resid_nlpd,resid_cover_1sd,resid_cover_2sd,resid_top_bottom_5_cum_return,resid_top_bottom_5_ann_return,resid_top_bottom_5_ann_vol,resid_top_bottom_5_sharpe,resid_top_bottom_5_max_drawdown,resid_top_bottom_5_mean_monthly,resid_top_bottom_5_hit_rate
historical_mean,12.0,-0.16903683649927026,-0.17178966000139612,0.3137254901960784,0.01795603842014141,0.8020476231492772,0.5555555555555556,0.03527612999305388,0.024229985695661416,-2.0939179649534867,0.8148148148148148,0.9629629629629629,0.21474589784588427,0.22052196441974248,0.09930496971842363,2.220653860980232,-0.04755200408992853,0.0167452058040654,0.75,-0.1465093050822619,-0.144572894933496,,,,0.0,0.03527612999305388,0.024229985695661416,-2.0939179649534867,0.8148148148148148,0.9629629629629629,,,,,,,
positive_no_prior_both,12.0,-0.18151698857519194,-0.16545916678824635,0.23667010663914687,0.06009686713384692,0.6048340758944446,0.587962962962963,0.03546392677501178,0.024141832039516347,-2.1186474136940237,0.7638888888888888,0.9398148148148148,0.12018631536090574,0.12371594401625696,0.0793016018372087,1.5600686638111367,-0.057837212436951786,0.00976747683266403,0.75,-0.15874896258247695,-0.13860267108348504,-0.07550739594083246,0.42850042392982823,-0.2373091228635938,0.587962962962963,0.03546392677501178,0.024141832039516347,-2.1186474136940237,0.7638888888888888,0.9398148148148148,-0.04372192132064601,-0.041319703995191026,0.0699997094421339,-0.5902839358118829,-0.06275045673340225,-0.0035102937906607927,0.5
positive_no_prior_outputscale_only,12.0,-0.28498605176543634,-0.28724687903994844,0.19177846577227384,0.19383763019797998,0.3994850144629709,0.5740740740740741,0.03698418416673117,0.024332997656479553,-2.093830717725219,0.7685185185185185,0.9398148148148148,0.08027569946394109,0.08582174788557628,0.1012282291143382,0.8478044971886236,-0.09023809129708318,0.0068850161289609095,0.5833333333333334,-0.26022415996889725,-0.2575750986825216,0.03629170966632265,0.8075882224877642,0.07201815763815492,0.5555555555555556,0.03698418416673117,0.024332997656479553,-2.093830717725219,0.7685185185185185,0.9398148148148148,0.0047125142055630675,0.011730669472349797,0.11688487643127049,0.10036088355064098,-0.12116245352364857,0.0009723389619495504,0.4166666666666667
positive_no_prior_lengthscale_only,12.0,-0.16704504902636153,-0.1372845640872925,0.20794633642930851,0.07556959474198079,0.5663507591569162,0.5694444444444444,0.03524606571055528,0.024204121990400826,-2.0573449106289172,0.8379629629629629,0.9814814814814815,0.15125597598716234,0.155565546977793,0.0875654257347743,1.7765635885672884,-0.043509714457046766,0.012122039783901535,0.75,-0.14455589968036353,-0.1111896109246609,-0.02648778809769523,0.8130096846191742,-0.06994454980333968,0.6064814814814814,0.03524606571055528,0.024204121990400826,-2.0573449106289172,0.8379629629629629,0.9814814814814815,-0.04213135648048005,-0.03924242089717822,0.07756247893069032,-0.5059459346605615,-0.08848259234050186,-0.0033305381483808402,0.4166666666666667
positive_no_prior_neither,12.0,-0.2027673285592413,-0.1653973943721177,0.15583075335397314,0.23299585751716423,0.3643537865793358,0.5833333333333334,0.035781426250759196,0.024237769517570333,-2.0739115947686493,0.8425925925925926,0.9722222222222222,0.06452398318930275,0.06758676953113163,0.07580212648156749,0.8916210226314224,-0.051944225298437015,0.005464940752068069,0.5833333333333334,-0.17958980503260236,-0.13880987114557086,-0.014791881664946688,0.9105135393187607,-0.03319911495731122,0.5787037037037037,0.035781426250759196,0.024237769517570333,-2.0739115947686493,0.8425925925925926,0.9722222222222222,-0.06439200442363613,-0.05868010925736544,0.10881387014419219,-0.5392704917085188,-0.12721612695545761,-0.005026677883263802,0.5
