date,control,lengthscale_floor_0.02,signed_lkj_eta_2,signed_lkj_eta_2_lengthscale_floor_0.02,signed_lkj_eta_2_turnover_blend_0.5,turnover_blend_0.5
2025-05-30,0.0,-0.00047056558406480264,0.002231331938819997,0.0021894208202484985,0.002231331938819997,0.0
2025-06-30,0.0,0.0007649241226687998,-0.0041216246815546,-0.0041216246815546,-0.003018435665288,3.5609366762999993e-06
2025-07-31,0.0,-0.00014031494947090023,-0.008638210461796199,-0.008500493254776299,-0.003663728372434099,1.1102554389741393e-07
2025-08-29,0.0,0.0003487847536410016,0.004551287283475702,0.0045547432912777,0.0016945924914419028,0.00033451575249240223
2025-09-30,0.0,0.00019411705897600003,0.0005548091376293999,0.0005484773549838998,-0.0002398399681506,-0.0006070817910646003
2025-10-31,0.0,0.00026514998661949975,-0.0004461896723784997,-0.00042979845834510005,-0.0005134911339747996,0.0004823773412912999
2025-11-28,0.0,8.206401527089996e-05,-5.996399878750009e-05,-1.0563869733099885e-05,0.0019998927982850002,0.0004660009926633
2025-12-31,0.0,0.0006367207799555033,0.002253430251362702,0.002060947904428498,0.0007711451870617003,-0.0013209205971630028
2026-01-30,0.0,-0.0003724578161086005,-0.0018444670752058995,-0.0018015451908545005,-0.0005063842009642994,-0.0016914680486642998
2026-02-27,0.0,-0.00047258785739760084,0.008306160087863904,0.0083159147718114,0.004343588999731703,0.0011972074573153024
2026-03-31,0.0,-0.0014799709696550062,0.005747101993717807,0.005543484142803798,0.0036133753369852056,-0.0007653610955647011
2026-04-30,0.0,0.00010549390147420248,-0.0003176312892220999,-0.00022138187566020026,0.0006648770581465999,0.0012267843644367012
