date,control,lengthscale_floor_0.02,signed_lkj_eta_2,signed_lkj_eta_2_lengthscale_floor_0.02,signed_lkj_eta_2_turnover_blend_0.5,turnover_blend_0.5
2025-05-30,-0.002231331938819997,-0.0027018975228847997,0.0,-4.1911118571498485e-05,0.0,-0.002231331938819997
2025-06-30,0.0041216246815546,0.0048865488042234,0.0,0.0,0.0011031890162666,0.0041251856182309005
2025-07-31,0.008638210461796199,0.008497895512325299,0.0,0.00013771720701990023,0.0049744820893621,0.008638321487340096
2025-08-29,-0.004551287283475702,-0.004202502529834701,0.0,3.456007801997535e-06,-0.0028566947920337996,-0.0042167715309833
2025-09-30,-0.0005548091376293999,-0.0003606920786533999,0.0,-6.331782645500102e-06,-0.0007946491057799999,-0.0011618909286940002
2025-10-31,0.0004461896723784997,0.0007113396589979995,0.0,1.639121403339966e-05,-6.730146159629989e-05,0.0009285670136697996
2025-11-28,5.996399878750009e-05,0.00014202801405840005,0.0,4.9400129054400204e-05,0.0020598567970725,0.0005259649914508001
2025-12-31,-0.002253430251362702,-0.001616709471407199,0.0,-0.00019248234693420435,-0.0014822850643010019,-0.003574350848525705
2026-01-30,0.0018444670752058995,0.001472009259097299,0.0,4.292188435139899e-05,0.0013380828742416,0.00015299902654159966
2026-02-27,-0.008306160087863904,-0.008778747945261504,0.0,9.754683947496567e-06,-0.003962571088132201,-0.007108952630548601
2026-03-31,-0.005747101993717807,-0.007227072963372813,0.0,-0.00020361785091400908,-0.0021337266567326013,-0.006512463089282508
2026-04-30,0.0003176312892220999,0.0004231251906963024,0.0,9.624941356189964e-05,0.0009825083473686998,0.001544415653658801
