experiment,terminal_value,months_beating_control,months_beating_signed,avg_spread_vs_control,avg_spread_vs_signed,feb_2026_return,feb_spread_vs_control,feb_spread_vs_signed
signed_lkj_eta_2,11997.517047586402,6,0,0.0006846694594937261,0.0,-0.0473418281071865,0.008306160087863904,0.0
signed_lkj_eta_2_lengthscale_floor_0.02,11996.652156773252,6,7,0.000677298412885833,-7.371046607893266e-06,-0.047332073423239,0.0083159147718114,9.754683947496567e-06
signed_lkj_eta_2_turnover_blend_0.5,11985.90282681798,7,5,0.0006147437058050259,-6.992575368870034e-05,-0.0513043991953187,0.004343588999731703,-0.003962571088132201
control,11897.869249232928,0,6,0.0,-0.0006846694594937261,-0.0556479881950504,0.0,-0.008306160087863904
lengthscale_floor_0.02,11892.16939094285,7,6,-4.488687984091696e-05,-0.0007295563393346431,-0.056120576052448,-0.00047258785739760084,-0.008778747945261504
turnover_blend_0.5,11891.801306808184,7,6,-5.6189471836450086e-05,-0.0007408589313301762,-0.0544507807377351,0.0011972074573153024,-0.007108952630548601
