experiment,date,diagnostic,module_path,module_type,mean,min,max,experiment_label
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2960709814144223,0.2960709814144223,0.2960709814144223,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.7244777581721238,0.1032044919776055,1.7437898476700535,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,7.617662036151153e-05,7.617662036151153e-05,7.617662036151153e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.7856702397562831,0.4381978523759596,1.2812917560307655,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.000657414980418,0.000657414980418,0.000657414980418,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,1.25116777198981e-05,1.25116777198981e-05,1.25116777198981e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.3011758766738033,0.3011758766738033,0.3011758766738033,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8656191615540808,0.300987905267881,1.3309567153181354,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0001073918912986,0.0001073918912986,0.0001073918912986,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.4102039294801413,0.4102039294801413,0.4102039294801413,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7837514839960928,0.6839254298331573,0.8962180992403707,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.8116667555880235,0.7110350218675644,0.9276266521787032,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,8.065027731910326e-05,8.065027731910326e-05,8.065027731910326e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8217098844022446,0.81450276134451,0.8361995152091682,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.8250773714459518,0.8180744224918295,0.8394536125914053,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8128362823859192,0.7085625507945359,0.9923558883754288,signed_lkj_eta_2
signed_lkj_eta_2,2025-06-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0065421263693771,0.0060789538636876,0.0066788527097933,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,183.8804078834287,183.8804078834287,183.8804078834287,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,9.762519291111325e-05,9.762519291111325e-05,9.762519291111325e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,1.0338105114336091,1.0338105114336091,1.0338105114336091,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,2.1070669904923424e-05,2.1070669904923424e-05,2.1070669904923424e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9422666077659226,0.2084414199070862,1.4764416482927645,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.309646252438979,0.309646252438979,0.309646252438979,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.7422306184087755,0.1037473064678251,1.8047955237332085,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,8.910066830146301e-05,8.910066830146301e-05,8.910066830146301e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.788157563495049,0.4206675882436173,1.2709030239414685,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0006805308983134,0.0006805308983134,0.0006805308983134,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,2.1820305645204175e-05,2.1820305645204175e-05,2.1820305645204175e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2970320877505983,0.2970320877505983,0.2970320877505983,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8546858254456248,0.3296956396427952,1.2233907515243838,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0001236377087159,0.0001236377087159,0.0001236377087159,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.4470495837694329,0.4470495837694329,0.4470495837694329,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7814992687107247,0.6743414987823702,0.8924333110352966,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.8112895523889514,0.7036146653212356,0.9273490798294352,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,6.957294532166386e-05,6.957294532166386e-05,6.957294532166386e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8218398131661169,0.8138984008616503,0.8366559844348376,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.825633761888887,0.8188098580814865,0.8404342866622629,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8239595934035644,0.7069633693509989,1.016197394392612,signed_lkj_eta_2
signed_lkj_eta_2,2025-07-31,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0065509035460146,0.0061452636886493,0.0066899358790492,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,184.94757859988033,184.94757859988036,184.94757859988036,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,0.0001191237018902,0.0001191237018902,0.0001191237018902,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.9211109915561474,0.9211109915561474,0.9211109915561474,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,5.888493175802868e-05,5.888493175802868e-05,5.888493175802868e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9089736017202366,0.2688607063900581,1.3601525699381152,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2966830205476801,0.2966830205476801,0.2966830205476801,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.6326826292135785,0.102832762100459,1.5740137655787698,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,0.0001185159889367,0.0001185159889367,0.0001185159889367,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.8020455325378206,0.4861671218856155,1.2512642561846576,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0013179485717032,0.0013179485717032,0.0013179485717032,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,5.9711691538073074e-05,5.9711691538073074e-05,5.9711691538073074e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2992430636504609,0.2992430636504609,0.2992430636504609,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.8372649718111277,0.3988938074384401,1.162506551503249,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,0.0001389130116881,0.0001389130116881,0.0001389130116881,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.4743764348567879,0.4743764348567879,0.4743764348567879,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.7945697058251051,0.7102960995614839,0.8893886054224581,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.8184111878788576,0.7378550992576925,0.9176318891494886,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,7.84953378196406e-05,7.84953378196406e-05,7.84953378196406e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8242545695522762,0.8187556508534406,0.8368515339384243,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.8269402935313017,0.8221838755767609,0.8392191388932153,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.827173642019999,0.7319278613522779,1.0388816484888423,signed_lkj_eta_2
signed_lkj_eta_2,2025-08-29,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0065386774534119,0.0060820823552456,0.0066885973551143,signed_lkj_eta_2
