experiment_label,diagnostic,mean,min,max
lengthscale_floor_0.02,lengthscale,0.6594353353662175,0.026137013503601,1.4104692044348277
lengthscale_floor_0.02,likelihood_noise,0.006563585366369175,0.0065235769689913,0.0066120291621163
lengthscale_floor_0.02,outputscale,0.10472500227838105,0.0005434813197672,0.9086827415135326
lengthscale_floor_0.02,time_varying_effective_lengthscale_eval,0.02,0.02,0.02
signed_lkj_eta_2,lengthscale,0.7684461153156235,0.281909590388499,1.3121419320922358
signed_lkj_eta_2,likelihood_noise,0.006522355270478433,0.0064598087655154,0.0065563638868917
signed_lkj_eta_2,outputscale,0.041266777484965565,5.069561106754084e-06,0.4013067732001444
signed_lkj_eta_2,time_varying_effective_lengthscale_eval,206.5627527294323,173.66009890434356,233.79130272624764
signed_lkj_eta_2_lengthscale_floor_0.02,lengthscale,0.7670745009942692,0.2752917828426142,1.3068659384477292
signed_lkj_eta_2_lengthscale_floor_0.02,likelihood_noise,0.006519456217482883,0.0064389491317693,0.0065536698618558
signed_lkj_eta_2_lengthscale_floor_0.02,outputscale,0.041561359099922236,7.396969597082737e-06,0.4144296772274021
signed_lkj_eta_2_lengthscale_floor_0.02,time_varying_effective_lengthscale_eval,205.2497247928455,174.24280577505817,230.0767002127724
signed_lkj_eta_2_turnover_blend_0.5,lengthscale,0.7684461153156235,0.281909590388499,1.3121419320922358
signed_lkj_eta_2_turnover_blend_0.5,likelihood_noise,0.006522355270478433,0.0064598087655154,0.0065563638868917
signed_lkj_eta_2_turnover_blend_0.5,outputscale,0.041266777484965565,5.069561106754084e-06,0.4013067732001444
signed_lkj_eta_2_turnover_blend_0.5,time_varying_effective_lengthscale_eval,206.5627527294323,173.66009890434356,233.79130272624764
turnover_blend_0.5,lengthscale,0.6628500797140384,0.0260334658251854,1.4176514284948334
turnover_blend_0.5,likelihood_noise,0.0065644440539927825,0.0065231797380063,0.0066068087618669
turnover_blend_0.5,outputscale,0.10407238922831942,0.0004608348588865,0.9137555147824292
turnover_blend_0.5,time_varying_effective_lengthscale_eval,3.869443031594759e-26,1.5346167006862174e-81,4.643331625881581e-25
