experiment,run_id,terminal_value,cagr,sharpe,max_drawdown,annualized_vol,mean_monthly_return,hit_rate,avg_turnover,max_weight,mean_ic,median_ic,delta_control_terminal_value,delta_signed_terminal_value,delta_control_cagr,delta_signed_cagr,delta_control_sharpe,delta_signed_sharpe,delta_control_max_drawdown,delta_signed_max_drawdown,delta_control_avg_turnover,delta_signed_avg_turnover,delta_control_mean_ic,delta_signed_mean_ic
signed_lkj_eta_2,20260616_signed_lkj_eta_2_portfolio,11997.517047586402,0.1997517047586401,2.1035452847332525,-0.0473418281071865,0.0949595457765342,0.0156639728896756,0.75,0.3442260217862449,0.1856466491159265,0.2723039215686274,0.3647058823529412,99.64779835347326,0.0,0.009964779835347298,0.0,0.1481488016857322,0.0,0.008306160087863904,0.0,0.1154490782464439,0.0,-0.09852941176470587,0.0
signed_lkj_eta_2_lengthscale_floor_0.02,20260616_signed_lkj_eta_2_lengthscale_floor_002_portfolio,11996.652156773252,0.1996652156773253,2.106401016581755,-0.0473320734232389,0.09478974521259,0.0156566018430677,0.75,0.3435248308839512,0.186199487831942,0.2558823529411764,0.3573529411764706,98.78290754032423,-0.8648908131490316,0.009878290754032487,-8.648908131481114e-05,0.1510045335342347,0.0028557318485025185,0.008315914771811504,9.75468394760065e-06,0.1147478873441502,-0.0007011909022937024,-0.1149509803921569,-0.016421568627451033
signed_lkj_eta_2_turnover_blend_0.5,20260616_signed_lkj_eta_2_turnover_blend_50_portfolio,11985.90282681798,0.198590282681798,2.06320811549542,-0.0513043991953187,0.096253151192221,0.0155940471359869,0.8333333333333334,0.1935576100909808,0.1634764523918243,0.2723039215686274,0.3647058823529412,88.03357758505263,-11.614220768420637,0.008803357758505215,-0.0011614220768420835,0.10781163244789949,-0.040337169237832704,0.004343588999731703,-0.003962571088132201,-0.035219333448820195,-0.1506684116952641,-0.09852941176470587,0.0
control,20260616_gp_scenario_portfolio,11897.869249232928,0.1897869249232928,1.9553964830475203,-0.0556479881950504,0.0970580271411282,0.0149793034301819,0.8333333333333334,0.228776943539801,0.1892186192590323,0.3708333333333333,0.3941176470588236,0.0,-99.64779835347326,0.0,-0.009964779835347298,0.0,-0.1481488016857322,0.0,-0.008306160087863904,0.0,-0.1154490782464439,0.0,0.09852941176470587
lengthscale_floor_0.02,20260616_lengthscale_floor_002_portfolio,11892.16939094285,0.189216939094285,1.9618622628783389,-0.056120576052448,0.0964476164685874,0.014934416550341,0.8333333333333334,0.244278605076693,0.199999998571387,0.3884803921568627,0.4147058823529411,-5.699858290077827,-105.34765664355109,-0.0005699858290078019,-0.0105347656643551,0.00646577983081853,-0.14168302185491366,-0.00047258785739760084,-0.008778747945261504,0.015501661536892003,-0.0999474167095519,0.017647058823529405,0.11617647058823527
turnover_blend_0.5,20260616_turnover_blend_50_portfolio,11891.801306808184,0.1891801306808185,1.982015883880577,-0.0544507807377351,0.0954483423767643,0.0149231139583454,0.8333333333333334,0.153570155126713,0.1883884260509492,0.3708333333333333,0.3941176470588236,-6.067942424744615,-105.71574077821788,-0.0006067942424743122,-0.01057157407782161,0.026619400833056694,-0.1215294008526755,0.0011972074573153024,-0.007108952630548601,-0.075206788413088,-0.1906558666595319,0.0,0.09852941176470587
