date,control,lengthscale_floor_0.02,signed_lkj_eta_2,signed_lkj_eta_2_lengthscale_floor_0.02,signed_lkj_eta_2_turnover_blend_0.5,turnover_blend_0.5
2025-05-30,0.0345869822454853,0.0341164166614205,0.0368183141843053,0.0367764030657338,0.0368183141843053,0.0345869822454853
2025-06-30,0.0025316370667819,0.0032965611894507,-0.0015899876147727,-0.0015899876147727,-0.0004867985985061,0.0025351980034582
2025-07-31,0.0319395971644139,0.031799282214943,0.0233013867026177,0.0234391039096376,0.0282758687919798,0.0319397081899578
2025-08-29,0.0156737754368552,0.0160225601904962,0.0202250627203309,0.0202285187281329,0.0173683679282971,0.0160082911893476
2025-09-30,0.0027003043460424,0.0028944214050184,0.0032551134836718,0.0032487817010263,0.0024604643778918,0.0020932225549778
2025-10-31,0.0059303625266683,0.0061955125132878,0.0054841728542898,0.0055005640683232,0.0054168713926935,0.0064127398679596
2025-11-28,-0.0009721246791058,-0.0008900606638349,-0.0010320886778933,-0.0009826885488389,0.0010277681191792,-0.0005061236864425
2025-12-31,0.0333427751738547,0.0339794959538102,0.0355962054252174,0.0354037230782832,0.0341139203609164,0.0320218545766917
2026-01-30,0.0226814654933005,0.0223090076771919,0.0208369984180946,0.020879920302446,0.0221750812923362,0.0209899974446362
2026-02-27,-0.0556479881950504,-0.056120576052448,-0.0473418281071865,-0.047332073423239,-0.0513043991953187,-0.0544507807377351
2026-03-31,0.0668897019252752,0.0654097309556202,0.072636803918993,0.072433186068079,0.0705030772622604,0.0661243408297105
2026-04-30,0.0200951526576619,0.0202006465591361,0.0197775213684398,0.0198737707820017,0.0207600297158085,0.0213219370220986
